AP890102-0139 4:0.4489247311827957 15:0.19086021505376344 1:0.11200716845878136 7:0.10125448028673835 0:0.06182795698924731 3:0.02956989247311828 11:0.01881720430107527 5:0.015232974910394265 6:0.004480286738351254 8:0.004480286738351254 10:0.004480286738351254 12:8.960573476702509E-4 13:8.960573476702509E-4 14:8.960573476702509E-4 16:8.960573476702509E-4 17:8.960573476702509E-4 18:8.960573476702509E-4 19:8.960573476702509E-4 2:8.960573476702509E-4 9:8.960573476702509E-4
AP890614-0159 8:0.37806748466257667 9:0.17561349693251535 15:0.10812883435582822 5:0.10506134969325154 17:0.08358895705521473 0:0.04984662576687116 1:0.037576687116564415 16:0.016104294478527608 19:0.01303680981595092 6:0.01303680981595092 14:0.006901840490797546 7:0.006901840490797546 11:7.668711656441718E-4 12:7.668711656441718E-4 13:7.668711656441718E-4 18:7.668711656441718E-4 2:7.668711656441718E-4 3:7.668711656441718E-4 4:7.668711656441718E-4 10:7.668711656441718E-4
AP890614-0220 14:0.41853932584269665 5:0.18258426966292135 16:0.10393258426966293 6:0.09269662921348315 11:0.08146067415730338 9:0.047752808988764044 13:0.014044943820224719 15:0.014044943820224719 10:0.014044943820224719 12:0.0028089887640449437 17:0.0028089887640449437 18:0.0028089887640449437 19:0.0028089887640449437 0:0.0028089887640449437 1:0.0028089887640449437 2:0.0028089887640449437 3:0.0028089887640449437 4:0.0028089887640449437 7:0.0028089887640449437 8:0.0028089887640449437
AP890614-0234 12:0.2779605263157895 11:0.1924342105263158 1:0.13980263157894737 13:0.10032894736842106 6:0.10032894736842106 16:0.054276315789473686 15:0.047697368421052634 5:0.04111842105263158 9:0.02138157894736842 0:0.008223684210526315 14:0.001644736842105263 17:0.001644736842105263 18:0.001644736842105263 19:0.001644736842105263 2:0.001644736842105263 3:0.001644736842105263 4:0.001644736842105263 7:0.001644736842105263 8:0.001644736842105263 10:0.001644736842105263
AP890615-0016 12:0.27115384615384613 7:0.19423076923076923 13:0.10961538461538461 1:0.10961538461538461 19:0.08653846153846154 15:0.06346153846153846 0:0.032692307692307694 2:0.032692307692307694 3:0.032692307692307694 11:0.01730769230769231 8:0.01730769230769231 16:0.009615384615384616 6:0.009615384615384616 14:0.0019230769230769232 17:0.0019230769230769232 18:0.0019230769230769232 4:0.0019230769230769232 5:0.0019230769230769232 9:0.0019230769230769232 10:0.0019230769230769232
AP890616-0043 1:0.33896396396396394 2:0.32995495495495497 15:0.10923423423423423 6:0.0686936936936937 11:0.05518018018018018 7:0.03265765765765766 16:0.01463963963963964 19:0.010135135135135136 0:0.010135135135135136 3:0.010135135135135136 5:0.010135135135135136 12:0.0011261261261261261 13:0.0011261261261261261 14:0.0011261261261261261 17:0.0011261261261261261 18:0.0011261261261261261 4:0.0011261261261261261 8:0.0011261261261261261 9:0.0011261261261261261 10:0.0011261261261261261
AP890616-0095 10:0.35650887573964496 17:0.22633136094674555 5:0.14349112426035504 15:0.06656804733727811 16:0.06656804733727811 9:0.06656804733727811 8:0.03106508875739645 0:0.013313609467455622 12:0.0073964497041420114 13:0.0073964497041420114 11:0.0014792899408284023 14:0.0014792899408284023 18:0.0014792899408284023 19:0.0014792899408284023 1:0.0014792899408284023 2:0.0014792899408284023 3:0.0014792899408284023 4:0.0014792899408284023 6:0.0014792899408284023 7:0.0014792899408284023
AP890617-0143 18:0.4201388888888889 16:0.23958333333333334 17:0.11458333333333333 9:0.07291666666666667 19:0.059027777777777776 14:0.03125 5:0.017361111111111112 11:0.003472222222222222 12:0.003472222222222222 13:0.003472222222222222 15:0.003472222222222222 0:0.003472222222222222 1:0.003472222222222222 2:0.003472222222222222 3:0.003472222222222222 4:0.003472222222222222 6:0.003472222222222222 7:0.003472222222222222 8:0.003472222222222222 10:0.003472222222222222
AP890619-0058 0:0.46702453987730064 9:0.2093558282208589 15:0.14493865030674846 16:0.07438650306748466 19:0.04371165644171779 18:0.019171779141104295 8:0.019171779141104295 13:0.006901840490797546 12:0.003834355828220859 5:0.003834355828220859 11:7.668711656441718E-4 14:7.668711656441718E-4 17:7.668711656441718E-4 1:7.668711656441718E-4 2:7.668711656441718E-4 3:7.668711656441718E-4 4:7.668711656441718E-4 6:7.668711656441718E-4 7:7.668711656441718E-4 10:7.668711656441718E-4
AP890619-0182 13:0.48131672597864766 15:0.25 11:0.08274021352313167 6:0.050711743772241996 12:0.04359430604982206 17:0.029359430604982206 1:0.018683274021352312 5:0.018683274021352312 8:0.015124555160142349 14:8.896797153024911E-4 16:8.896797153024911E-4 18:8.896797153024911E-4 19:8.896797153024911E-4 0:8.896797153024911E-4 2:8.896797153024911E-4 3:8.896797153024911E-4 4:8.896797153024911E-4 7:8.896797153024911E-4 9:8.896797153024911E-4 10:8.896797153024911E-4
AP890620-0022 0:0.3442028985507246 11:0.3007246376811594 15:0.15579710144927536 1:0.07367149758454106 7:0.04468599033816425 4:0.025362318840579712 17:0.020531400966183576 6:0.010869565217391304 5:0.006038647342995169 10:0.006038647342995169 12:0.0012077294685990338 13:0.0012077294685990338 14:0.0012077294685990338 16:0.0012077294685990338 18:0.0012077294685990338 19:0.0012077294685990338 2:0.0012077294685990338 3:0.0012077294685990338 8:0.0012077294685990338 9:0.0012077294685990338
AP890620-0245 5:0.5022727272727273 11:0.22954545454545455 13:0.0659090909090909 15:0.0659090909090909 0:0.038636363636363635 17:0.029545454545454545 12:0.011363636363636364 4:0.011363636363636364 8:0.011363636363636364 9:0.011363636363636364 14:0.0022727272727272726 16:0.0022727272727272726 18:0.0022727272727272726 19:0.0022727272727272726 1:0.0022727272727272726 2:0.0022727272727272726 3:0.0022727272727272726 6:0.0022727272727272726 7:0.0022727272727272726 10:0.0022727272727272726
AP890620-0275 14:0.36077844311377244 10:0.1631736526946108 5:0.15718562874251496 15:0.13323353293413173 6:0.06736526946107785 8:0.04341317365269461 18:0.03143712574850299 0:0.01347305389221557 12:0.0074850299401197605 7:0.0074850299401197605 11:0.0014970059880239522 13:0.0014970059880239522 16:0.0014970059880239522 17:0.0014970059880239522 19:0.0014970059880239522 1:0.0014970059880239522 2:0.0014970059880239522 3:0.0014970059880239522 4:0.0014970059880239522 9:0.0014970059880239522
AP890620-0278 8:0.2742214532871972 10:0.20155709342560554 5:0.1842560553633218 15:0.15657439446366783 1:0.08044982698961937 17:0.06660899653979238 3:0.014705882352941176 11:0.004325259515570935 0:0.004325259515570935 9:0.004325259515570935 12:8.650519031141869E-4 13:8.650519031141869E-4 14:8.650519031141869E-4 16:8.650519031141869E-4 18:8.650519031141869E-4 19:8.650519031141869E-4 2:8.650519031141869E-4 4:8.650519031141869E-4 6:8.650519031141869E-4 7:8.650519031141869E-4
AP890621-0153 1:0.36908783783783783 3:0.13260135135135134 9:0.1258445945945946 2:0.08192567567567567 15:0.0785472972972973 0:0.05489864864864865 19:0.041385135135135136 12:0.02787162162162162 16:0.017736486486486486 17:0.014358108108108109 13:0.01097972972972973 4:0.01097972972972973 11:0.007601351351351352 6:0.007601351351351352 14:0.004222972972972973 5:0.004222972972972973 8:0.004222972972972973 10:0.004222972972972973 18:8.445945945945946E-4 7:8.445945945945946E-4
AP890621-0230 1:0.275 19:0.22045454545454546 9:0.21136363636363636 15:0.16590909090909092 12:0.038636363636363635 0:0.029545454545454545 4:0.020454545454545454 8:0.011363636363636364 11:0.0022727272727272726 13:0.0022727272727272726 14:0.0022727272727272726 16:0.0022727272727272726 17:0.0022727272727272726 18:0.0022727272727272726 2:0.0022727272727272726 3:0.0022727272727272726 5:0.0022727272727272726 6:0.0022727272727272726 7:0.0022727272727272726 10:0.0022727272727272726
AP890621-0236 5:0.6383426966292135 15:0.14957865168539325 8:0.08216292134831461 9:0.028792134831460675 17:0.02598314606741573 18:0.023174157303370788 6:0.0175561797752809 10:0.014747191011235955 13:0.0035112359550561797 14:0.0035112359550561797 19:0.0035112359550561797 1:0.0035112359550561797 11:7.022471910112359E-4 12:7.022471910112359E-4 16:7.022471910112359E-4 0:7.022471910112359E-4 2:7.022471910112359E-4 3:7.022471910112359E-4 4:7.022471910112359E-4 7:7.022471910112359E-4
AP890622-0071 4:0.40625 1:0.20125 15:0.07125 9:0.07125 3:0.05125 2:0.04125 13:0.02625 14:0.02625 8:0.02625 19:0.02125 10:0.02125 7:0.01625 11:0.00625 0:0.00625 12:0.00125 16:0.00125 17:0.00125 18:0.00125 5:0.00125 6:0.00125
AP890622-0184 11:0.5217013888888888 5:0.15711805555555555 15:0.09809027777777778 10:0.059895833333333336 9:0.05642361111111111 12:0.025173611111111112 17:0.021701388888888888 13:0.018229166666666668 8:0.014756944444444444 14:0.011284722222222222 6:0.0078125 16:8.680555555555555E-4 18:8.680555555555555E-4 19:8.680555555555555E-4 0:8.680555555555555E-4 1:8.680555555555555E-4 2:8.680555555555555E-4 3:8.680555555555555E-4 4:8.680555555555555E-4 7:8.680555555555555E-4
AP890622-0221 0:0.765 15:0.077 6:0.073 7:0.033 19:0.025 9:0.009 11:0.005 12:0.001 13:0.001 14:0.001 16:0.001 17:0.001 18:0.001 1:0.001 2:0.001 3:0.001 4:0.001 5:0.001 8:0.001 10:0.001
AP890622-0314 5:0.46710526315789475 7:0.23026315789473684 3:0.08114035087719298 14:0.05482456140350877 11:0.03728070175438596 16:0.03728070175438596 18:0.02850877192982456 9:0.019736842105263157 12:0.010964912280701754 15:0.010964912280701754 13:0.0021929824561403508 17:0.0021929824561403508 19:0.0021929824561403508 0:0.0021929824561403508 1:0.0021929824561403508 2:0.0021929824561403508 4:0.0021929824561403508 6:0.0021929824561403508 8:0.0021929824561403508 10:0.0021929824561403508
AP890623-0037 11:0.5651595744680851 5:0.20345744680851063 10:0.07047872340425532 15:0.03856382978723404 9:0.03324468085106383 12:0.027925531914893616 13:0.011968085106382979 17:0.011968085106382979 7:0.011968085106382979 3:0.006648936170212766 8:0.006648936170212766 14:0.0013297872340425532 16:0.0013297872340425532 18:0.0013297872340425532 19:0.0013297872340425532 0:0.0013297872340425532 1:0.0013297872340425532 2:0.0013297872340425532 4:0.0013297872340425532 6:0.0013297872340425532
AP890623-0074 0:0.7693089430894309 15:0.11077235772357724 6:0.04573170731707317 7:0.03353658536585366 3:0.02540650406504065 11:0.0010162601626016261 12:0.0010162601626016261 13:0.0010162601626016261 14:0.0010162601626016261 16:0.0010162601626016261 17:0.0010162601626016261 18:0.0010162601626016261 19:0.0010162601626016261 1:0.0010162601626016261 2:0.0010162601626016261 4:0.0010162601626016261 5:0.0010162601626016261 8:0.0010162601626016261 9:0.0010162601626016261 10:0.0010162601626016261
AP890623-0110 11:0.3179347826086957 16:0.1331521739130435 2:0.1331521739130435 4:0.11141304347826086 17:0.06793478260869565 15:0.057065217391304345 14:0.04619565217391304 1:0.04619565217391304 10:0.04619565217391304 6:0.01358695652173913 12:0.002717391304347826 13:0.002717391304347826 18:0.002717391304347826 19:0.002717391304347826 0:0.002717391304347826 3:0.002717391304347826 5:0.002717391304347826 7:0.002717391304347826 8:0.002717391304347826 9:0.002717391304347826
AP890623-0213 14:0.3345238095238095 13:0.11071428571428571 1:0.10595238095238095 8:0.0869047619047619 11:0.07261904761904762 15:0.07261904761904762 7:0.06785714285714285 12:0.0630952380952381 2:0.025 3:0.02023809523809524 0:0.010714285714285714 17:0.005952380952380952 4:0.005952380952380952 5:0.005952380952380952 9:0.005952380952380952 16:0.0011904761904761906 18:0.0011904761904761906 19:0.0011904761904761906 6:0.0011904761904761906 10:0.0011904761904761906
AP890623-0244 12:0.33670520231213874 11:0.16329479768786126 9:0.12861271676300579 15:0.10549132947976879 17:0.08815028901734104 0:0.08236994219653179 5:0.024566473988439308 18:0.01878612716763006 1:0.01300578034682081 2:0.0072254335260115606 7:0.0072254335260115606 8:0.0072254335260115606 10:0.0072254335260115606 13:0.001445086705202312 14:0.001445086705202312 16:0.001445086705202312 19:0.001445086705202312 3:0.001445086705202312 4:0.001445086705202312 6:0.001445086705202312
AP890624-0009 17:0.1976923076923077 10:0.1576923076923077 8:0.15153846153846154 1:0.14846153846153845 9:0.12076923076923077 15:0.09615384615384616 4:0.03769230769230769 19:0.03461538461538462 18:0.022307692307692306 0:0.022307692307692306 7:0.0038461538461538464 11:7.692307692307692E-4 12:7.692307692307692E-4 13:7.692307692307692E-4 14:7.692307692307692E-4 16:7.692307692307692E-4 2:7.692307692307692E-4 3:7.692307692307692E-4 5:7.692307692307692E-4 6:7.692307692307692E-4
AP890624-0027 10:0.37109375 12:0.18359375 5:0.15755208333333334 15:0.13151041666666666 9:0.05859375 13:0.02734375 0:0.02734375 11:0.016927083333333332 17:0.01171875 14:0.0013020833333333333 16:0.0013020833333333333 18:0.0013020833333333333 19:0.0013020833333333333 1:0.0013020833333333333 2:0.0013020833333333333 3:0.0013020833333333333 4:0.0013020833333333333 6:0.0013020833333333333 7:0.0013020833333333333 8:0.0013020833333333333
AP890626-0031 12:0.6298828125 9:0.1806640625 15:0.1181640625 2:0.0205078125 6:0.0126953125 18:0.0087890625 3:0.0087890625 17:0.0048828125 8:0.0048828125 11:9.765625E-4 13:9.765625E-4 14:9.765625E-4 16:9.765625E-4 19:9.765625E-4 0:9.765625E-4 1:9.765625E-4 4:9.765625E-4 5:9.765625E-4 7:9.765625E-4 10:9.765625E-4
AP890626-0074 10:0.5387788778877888 6:0.10313531353135313 9:0.10313531353135313 15:0.09983498349834984 17:0.08663366336633663 11:0.017326732673267328 19:0.014026402640264026 0:0.007425742574257425 5:0.007425742574257425 12:0.004125412541254125 18:0.004125412541254125 1:0.004125412541254125 2:0.004125412541254125 13:8.250825082508251E-4 14:8.250825082508251E-4 16:8.250825082508251E-4 3:8.250825082508251E-4 4:8.250825082508251E-4 7:8.250825082508251E-4 8:8.250825082508251E-4
AP890627-0251 5:0.6426886792452831 15:0.08136792452830188 13:0.0625 18:0.05778301886792453 14:0.03891509433962264 11:0.03419811320754717 10:0.0294811320754717 1:0.01061320754716981 3:0.01061320754716981 12:0.00589622641509434 16:0.00589622641509434 19:0.00589622641509434 6:0.00589622641509434 17:0.0011792452830188679 0:0.0011792452830188679 2:0.0011792452830188679 4:0.0011792452830188679 7:0.0011792452830188679 8:0.0011792452830188679 9:0.0011792452830188679
AP890628-0128 3:0.27323717948717946 16:0.14182692307692307 12:0.10657051282051282 15:0.10016025641025642 10:0.09375 1:0.09054487179487179 4:0.04887820512820513 7:0.029647435897435896 13:0.026442307692307692 19:0.026442307692307692 2:0.026442307692307692 11:0.020032051282051284 5:0.007211538461538462 17:0.004006410256410256 14:8.012820512820513E-4 18:8.012820512820513E-4 0:8.012820512820513E-4 6:8.012820512820513E-4 8:8.012820512820513E-4 9:8.012820512820513E-4
AP890628-0152 2:0.46405750798722045 1:0.19249201277955272 7:0.1477635782747604 11:0.0742811501597444 15:0.03913738019169329 5:0.0231629392971246 8:0.019968051118210862 14:0.016773162939297124 9:0.00718849840255591 13:0.003993610223642172 19:0.003993610223642172 12:7.987220447284345E-4 16:7.987220447284345E-4 17:7.987220447284345E-4 18:7.987220447284345E-4 0:7.987220447284345E-4 3:7.987220447284345E-4 4:7.987220447284345E-4 6:7.987220447284345E-4 10:7.987220447284345E-4
AP890628-0249 18:0.5508658008658008 5:0.16125541125541126 15:0.10497835497835498 11:0.08766233766233766 17:0.06168831168831169 12:0.00974025974025974 4:0.005411255411255411 8:0.005411255411255411 13:0.0010822510822510823 14:0.0010822510822510823 16:0.0010822510822510823 19:0.0010822510822510823 0:0.0010822510822510823 1:0.0010822510822510823 2:0.0010822510822510823 3:0.0010822510822510823 6:0.0010822510822510823 7:0.0010822510822510823 9:0.0010822510822510823 10:0.0010822510822510823
AP890629-0069 3:0.30714285714285716 4:0.15476190476190477 14:0.1357142857142857 2:0.09761904761904762 15:0.07857142857142857 7:0.05 9:0.030952380952380953 13:0.02142857142857143 16:0.02142857142857143 18:0.02142857142857143 8:0.02142857142857143 11:0.011904761904761904 12:0.011904761904761904 0:0.011904761904761904 6:0.011904761904761904 17:0.002380952380952381 19:0.002380952380952381 1:0.002380952380952381 5:0.002380952380952381 10:0.002380952380952381
AP890629-0121 12:0.5006756756756757 9:0.297972972972973 15:0.1277027027027027 1:0.04121621621621622 0:0.006081081081081081 2:0.006081081081081081 11:0.0033783783783783786 19:0.0033783783783783786 3:0.0033783783783783786 10:0.0033783783783783786 13:6.756756756756757E-4 14:6.756756756756757E-4 16:6.756756756756757E-4 17:6.756756756756757E-4 18:6.756756756756757E-4 4:6.756756756756757E-4 5:6.756756756756757E-4 6:6.756756756756757E-4 7:6.756756756756757E-4 8:6.756756756756757E-4
AP890629-0254 0:0.19258373205741627 15:0.1638755980861244 9:0.1590909090909091 7:0.10645933014354067 11:0.10167464114832536 1:0.06818181818181818 8:0.06339712918660287 13:0.04904306220095694 16:0.02033492822966507 18:0.02033492822966507 17:0.01555023923444976 14:0.01076555023923445 19:0.005980861244019139 2:0.005980861244019139 4:0.005980861244019139 10:0.005980861244019139 12:0.0011961722488038277 3:0.0011961722488038277 5:0.0011961722488038277 6:0.0011961722488038277
AP890630-0132 17:0.5445205479452054 10:0.20205479452054795 15:0.10159817351598173 9:0.033105022831050226 13:0.028538812785388126 14:0.023972602739726026 11:0.014840182648401826 8:0.014840182648401826 7:0.010273972602739725 12:0.005707762557077625 16:0.005707762557077625 5:0.005707762557077625 18:0.001141552511415525 19:0.001141552511415525 0:0.001141552511415525 1:0.001141552511415525 2:0.001141552511415525 3:0.001141552511415525 4:0.001141552511415525 6:0.001141552511415525
AP890630-0179 17:0.8008196721311476 15:0.07950819672131147 10:0.07295081967213114 9:0.020491803278688523 19:0.010655737704918032 8:0.004098360655737705 11:8.19672131147541E-4 12:8.19672131147541E-4 13:8.19672131147541E-4 14:8.19672131147541E-4 16:8.19672131147541E-4 18:8.19672131147541E-4 0:8.19672131147541E-4 1:8.19672131147541E-4 2:8.19672131147541E-4 3:8.19672131147541E-4 4:8.19672131147541E-4 5:8.19672131147541E-4 6:8.19672131147541E-4 7:8.19672131147541E-4
AP890630-0266 14:0.28448275862068967 15:0.13122605363984674 17:0.09291187739463602 8:0.08524904214559387 13:0.07758620689655173 1:0.07758620689655173 6:0.06992337164750957 4:0.06226053639846743 2:0.035440613026819924 11:0.020114942528735632 7:0.020114942528735632 0:0.012452107279693486 3:0.008620689655172414 5:0.008620689655172414 12:0.004789272030651341 10:0.004789272030651341 16:9.578544061302681E-4 18:9.578544061302681E-4 19:9.578544061302681E-4 9:9.578544061302681E-4
AP890630-0277 5:0.4769372693726937 10:0.1595940959409594 15:0.14852398523985239 8:0.07103321033210332 18:0.05627306273062731 16:0.015682656826568265 9:0.015682656826568265 1:0.011992619926199263 3:0.011992619926199263 0:0.008302583025830259 2:0.008302583025830259 19:0.004612546125461255 6:0.004612546125461255 11:9.225092250922509E-4 12:9.225092250922509E-4 13:9.225092250922509E-4 14:9.225092250922509E-4 17:9.225092250922509E-4 4:9.225092250922509E-4 7:9.225092250922509E-4
AP890630-0278 5:0.2966666666666667 14:0.24866666666666667 10:0.13666666666666666 15:0.10466666666666667 1:0.07 12:0.03266666666666666 6:0.03 13:0.019333333333333334 9:0.019333333333333334 0:0.011333333333333334 19:0.008666666666666666 16:0.006 17:0.006 8:0.006 11:6.666666666666666E-4 18:6.666666666666666E-4 2:6.666666666666666E-4 3:6.666666666666666E-4 4:6.666666666666666E-4 7:6.666666666666666E-4
AP890630-0286 5:0.24619565217391304 18:0.21793478260869564 17:0.2048913043478261 15:0.09619565217391304 9:0.05489130434782609 10:0.04619565217391304 1:0.035326086956521736 14:0.03315217391304348 12:0.01576086956521739 0:0.01358695652173913 7:0.01358695652173913 16:0.00923913043478261 8:0.004891304347826087 11:0.002717391304347826 3:0.002717391304347826 13:5.434782608695652E-4 19:5.434782608695652E-4 2:5.434782608695652E-4 4:5.434782608695652E-4 6:5.434782608695652E-4
AP890701-0100 12:0.47837370242214533 9:0.3365051903114187 15:0.08391003460207612 1:0.05968858131487889 14:0.014705882352941176 11:0.004325259515570935 17:0.004325259515570935 19:0.004325259515570935 2:0.004325259515570935 13:8.650519031141869E-4 16:8.650519031141869E-4 18:8.650519031141869E-4 0:8.650519031141869E-4 3:8.650519031141869E-4 4:8.650519031141869E-4 5:8.650519031141869E-4 6:8.650519031141869E-4 7:8.650519031141869E-4 8:8.650519031141869E-4 10:8.650519031141869E-4
AP890703-0137 4:0.2584635416666667 1:0.15690104166666666 15:0.13346354166666666 2:0.115234375 3:0.08919270833333333 19:0.044921875 9:0.044921875 5:0.039713541666666664 14:0.034505208333333336 7:0.029296875 16:0.018880208333333332 10:0.013671875 11:0.008463541666666666 12:0.0032552083333333335 17:0.0032552083333333335 8:0.0032552083333333335 13:6.510416666666666E-4 18:6.510416666666666E-4 0:6.510416666666666E-4 6:6.510416666666666E-4
AP890703-0151 16:0.41835443037974684 3:0.2259493670886076 15:0.13987341772151898 10:0.05126582278481013 19:0.036075949367088606 2:0.03354430379746835 9:0.025949367088607594 1:0.018354430379746836 8:0.015822784810126583 13:0.010759493670886076 0:0.008227848101265823 4:0.00569620253164557 12:0.0031645569620253164 14:0.0031645569620253164 11:6.329113924050633E-4 17:6.329113924050633E-4 18:6.329113924050633E-4 5:6.329113924050633E-4 6:6.329113924050633E-4 7:6.329113924050633E-4
AP890703-0190 12:0.40789473684210525 15:0.19258373205741627 9:0.15430622009569378 0:0.04425837320574163 5:0.039473684210526314 10:0.034688995215311005 1:0.029904306220095694 13:0.025119617224880382 11:0.01555023923444976 14:0.01555023923444976 16:0.01555023923444976 7:0.01076555023923445 8:0.005980861244019139 17:0.0011961722488038277 18:0.0011961722488038277 19:0.0011961722488038277 2:0.0011961722488038277 3:0.0011961722488038277 4:0.0011961722488038277 6:0.0011961722488038277
AP890703-0203 3:0.4696652719665272 15:0.1600418410041841 1:0.14748953974895398 13:0.12238493723849372 12:0.04288702928870293 5:0.01778242677824268 0:0.009414225941422594 19:0.005230125523012552 6:0.005230125523012552 9:0.005230125523012552 10:0.005230125523012552 11:0.0010460251046025104 14:0.0010460251046025104 16:0.0010460251046025104 17:0.0010460251046025104 18:0.0010460251046025104 2:0.0010460251046025104 4:0.0010460251046025104 7:0.0010460251046025104 8:0.0010460251046025104
AP890704-0037 3:0.6378787878787879 1:0.14696969696969697 15:0.09242424242424242 13:0.05 6:0.031818181818181815 11:0.007575757575757576 0:0.007575757575757576 9:0.007575757575757576 12:0.0015151515151515152 14:0.0015151515151515152 16:0.0015151515151515152 17:0.0015151515151515152 18:0.0015151515151515152 19:0.0015151515151515152 2:0.0015151515151515152 4:0.0015151515151515152 5:0.0015151515151515152 7:0.0015151515151515152 8:0.0015151515151515152 10:0.0015151515151515152
AP890704-0040 15:0.27525252525252525 8:0.19444444444444445 1:0.13383838383838384 10:0.07323232323232323 3:0.06313131313131314 6:0.05303030303030303 11:0.04292929292929293 4:0.04292929292929293 19:0.03282828282828283 18:0.022727272727272728 9:0.022727272727272728 13:0.012626262626262626 0:0.012626262626262626 12:0.0025252525252525255 14:0.0025252525252525255 16:0.0025252525252525255 17:0.0025252525252525255 2:0.0025252525252525255 5:0.0025252525252525255 7:0.0025252525252525255
AP890704-0085 6:0.175625 15:0.148125 0:0.148125 16:0.113125 1:0.105625 9:0.080625 14:0.068125 2:0.065625 4:0.018125 5:0.018125 10:0.018125 17:0.015625 11:0.013125 3:0.005625 8:0.003125 12:6.25E-4 13:6.25E-4 18:6.25E-4 19:6.25E-4 7:6.25E-4
AP890704-0157 5:0.2161214953271028 19:0.20677570093457945 15:0.10864485981308411 14:0.10397196261682243 9:0.08995327102803738 0:0.0852803738317757 3:0.04322429906542056 6:0.038551401869158876 13:0.02453271028037383 12:0.01985981308411215 18:0.01985981308411215 10:0.01985981308411215 16:0.015186915887850467 11:0.0011682242990654205 17:0.0011682242990654205 1:0.0011682242990654205 2:0.0011682242990654205 4:0.0011682242990654205 7:0.0011682242990654205 8:0.0011682242990654205
AP890706-0263 11:0.5208830548926014 5:0.1318615751789976 15:0.08174224343675418 1:0.07219570405727924 7:0.04116945107398568 4:0.029236276849642005 12:0.024463007159904536 0:0.017303102625298328 14:0.014916467780429593 8:0.012529832935560859 16:0.010143198090692125 3:0.010143198090692125 9:0.010143198090692125 13:0.0053699284009546535 19:0.0053699284009546535 2:0.0053699284009546535 17:0.0029832935560859188 18:0.0029832935560859188 6:5.966587112171838E-4 10:5.966587112171838E-4
AP890706-0274 17:0.30288461538461536 9:0.23237179487179488 15:0.20032051282051283 5:0.09775641025641026 12:0.07211538461538461 11:0.04006410256410257 13:0.008012820512820512 4:0.008012820512820512 7:0.008012820512820512 8:0.008012820512820512 10:0.008012820512820512 14:0.0016025641025641025 16:0.0016025641025641025 18:0.0016025641025641025 19:0.0016025641025641025 0:0.0016025641025641025 1:0.0016025641025641025 2:0.0016025641025641025 3:0.0016025641025641025 6:0.0016025641025641025
AP890707-0145 17:0.3255208333333333 8:0.2109375 9:0.1484375 16:0.13802083333333334 1:0.0546875 12:0.033854166666666664 15:0.0234375 13:0.013020833333333334 14:0.013020833333333334 6:0.013020833333333334 11:0.0026041666666666665 18:0.0026041666666666665 19:0.0026041666666666665 0:0.0026041666666666665 2:0.0026041666666666665 3:0.0026041666666666665 4:0.0026041666666666665 5:0.0026041666666666665 7:0.0026041666666666665 10:0.0026041666666666665
AP890707-0166 7:0.3326271186440678 10:0.298728813559322 6:0.1461864406779661 9:0.06991525423728813 0:0.05296610169491525 8:0.02754237288135593 1:0.019067796610169493 13:0.01059322033898305 15:0.01059322033898305 17:0.01059322033898305 11:0.00211864406779661 12:0.00211864406779661 14:0.00211864406779661 16:0.00211864406779661 18:0.00211864406779661 19:0.00211864406779661 2:0.00211864406779661 3:0.00211864406779661 4:0.00211864406779661 5:0.00211864406779661
AP890707-0168 12:0.4975247524752475 7:0.15099009900990099 13:0.09158415841584158 3:0.06188118811881188 11:0.05198019801980198 15:0.04207920792079208 17:0.03217821782178218 5:0.022277227722772276 0:0.012376237623762377 6:0.012376237623762377 14:0.0024752475247524753 16:0.0024752475247524753 18:0.0024752475247524753 19:0.0024752475247524753 1:0.0024752475247524753 2:0.0024752475247524753 4:0.0024752475247524753 8:0.0024752475247524753 9:0.0024752475247524753 10:0.0024752475247524753
AP890707-0178 13:0.3027638190954774 12:0.24748743718592964 16:0.11180904522613065 15:0.10175879396984924 5:0.06658291457286432 18:0.05150753768844221 9:0.0414572864321608 10:0.0364321608040201 17:0.02135678391959799 2:0.00628140703517588 11:0.001256281407035176 14:0.001256281407035176 19:0.001256281407035176 0:0.001256281407035176 1:0.001256281407035176 3:0.001256281407035176 4:0.001256281407035176 6:0.001256281407035176 7:0.001256281407035176 8:0.001256281407035176
AP890707-0189 4:0.5593093093093093 1:0.21696696696696696 19:0.09384384384384384 15:0.0457957957957958 3:0.0457957957957958 9:0.012762762762762763 13:0.00975975975975976 12:0.006756756756756757 11:7.507507507507507E-4 14:7.507507507507507E-4 16:7.507507507507507E-4 17:7.507507507507507E-4 18:7.507507507507507E-4 0:7.507507507507507E-4 2:7.507507507507507E-4 5:7.507507507507507E-4 6:7.507507507507507E-4 7:7.507507507507507E-4 8:7.507507507507507E-4 10:7.507507507507507E-4
AP890708-0017 6:0.6191099476439791 15:0.10078534031413612 17:0.10078534031413612 5:0.07460732984293193 0:0.03795811518324607 19:0.02225130890052356 9:0.017015706806282723 18:0.006544502617801047 10:0.006544502617801047 11:0.0013089005235602095 12:0.0013089005235602095 13:0.0013089005235602095 14:0.0013089005235602095 16:0.0013089005235602095 1:0.0013089005235602095 2:0.0013089005235602095 3:0.0013089005235602095 4:0.0013089005235602095 7:0.0013089005235602095 8:0.0013089005235602095
