AP890101-0002 8:0.3691646191646192 1:0.20945945945945946 5:0.12837837837837837 16:0.09643734643734644 13:0.0472972972972973 0:0.04484029484029484 2:0.030098280098280097 3:0.025184275184275184 17:0.02027027027027027 7:0.015356265356265357 19:0.005528255528255528 15:0.003071253071253071 11:6.142506142506142E-4 12:6.142506142506142E-4 14:6.142506142506142E-4 18:6.142506142506142E-4 4:6.142506142506142E-4 6:6.142506142506142E-4 9:6.142506142506142E-4 10:6.142506142506142E-4
AP890628-0057 0:0.38006756756756754 16:0.16385135135135134 5:0.1097972972972973 2:0.10304054054054054 7:0.08277027027027027 18:0.04222972972972973 1:0.028716216216216218 9:0.02195945945945946 4:0.015202702702702704 8:0.015202702702702704 13:0.008445945945945946 14:0.008445945945945946 19:0.008445945945945946 11:0.0016891891891891893 12:0.0016891891891891893 15:0.0016891891891891893 17:0.0016891891891891893 3:0.0016891891891891893 6:0.0016891891891891893 10:0.0016891891891891893
AP890628-0123 18:0.41522988505747127 15:0.34626436781609193 3:0.1336206896551724 13:0.03017241379310345 2:0.01867816091954023 10:0.01867816091954023 11:0.007183908045977011 0:0.007183908045977011 5:0.007183908045977011 12:0.0014367816091954023 14:0.0014367816091954023 16:0.0014367816091954023 17:0.0014367816091954023 19:0.0014367816091954023 1:0.0014367816091954023 4:0.0014367816091954023 6:0.0014367816091954023 7:0.0014367816091954023 8:0.0014367816091954023 9:0.0014367816091954023
AP890628-0192 10:0.2794811320754717 11:0.2606132075471698 3:0.13797169811320756 14:0.10966981132075472 17:0.08136792452830188 19:0.0625 16:0.03419811320754717 15:0.00589622641509434 1:0.00589622641509434 6:0.00589622641509434 8:0.00589622641509434 12:0.0011792452830188679 13:0.0011792452830188679 18:0.0011792452830188679 0:0.0011792452830188679 2:0.0011792452830188679 4:0.0011792452830188679 5:0.0011792452830188679 7:0.0011792452830188679 9:0.0011792452830188679
AP890628-0219 0:0.4379120879120879 16:0.29725274725274725 13:0.06648351648351648 8:0.05549450549450549 9:0.033516483516483515 6:0.022527472527472527 18:0.02032967032967033 5:0.018131868131868133 15:0.015934065934065933 17:0.00934065934065934 7:0.00934065934065934 11:0.004945054945054945 12:0.004945054945054945 14:5.494505494505495E-4 19:5.494505494505495E-4 1:5.494505494505495E-4 2:5.494505494505495E-4 3:5.494505494505495E-4 4:5.494505494505495E-4 10:5.494505494505495E-4
AP890629-0048 11:0.44751908396946566 6:0.1650763358778626 18:0.11164122137404581 16:0.09255725190839695 4:0.05820610687022901 14:0.039122137404580155 10:0.02385496183206107 19:0.016221374045801526 1:0.016221374045801526 15:0.008587786259541985 9:0.008587786259541985 5:0.004770992366412214 12:9.541984732824427E-4 13:9.541984732824427E-4 17:9.541984732824427E-4 0:9.541984732824427E-4 2:9.541984732824427E-4 3:9.541984732824427E-4 7:9.541984732824427E-4 8:9.541984732824427E-4
AP890629-0105 3:0.45233463035019456 18:0.1605058365758755 19:0.1605058365758755 16:0.14494163424124515 10:0.03988326848249027 1:0.024319066147859923 4:0.0048638132295719845 11:9.727626459143969E-4 12:9.727626459143969E-4 13:9.727626459143969E-4 14:9.727626459143969E-4 15:9.727626459143969E-4 17:9.727626459143969E-4 0:9.727626459143969E-4 2:9.727626459143969E-4 5:9.727626459143969E-4 6:9.727626459143969E-4 7:9.727626459143969E-4 8:9.727626459143969E-4 9:9.727626459143969E-4
AP890630-0070 3:0.49324324324324326 19:0.13648648648648648 16:0.09324324324324325 18:0.08783783783783784 10:0.08783783783783784 8:0.02837837837837838 13:0.01756756756756757 7:0.01756756756756757 17:0.012162162162162163 0:0.006756756756756757 1:0.006756756756756757 11:0.0013513513513513514 12:0.0013513513513513514 14:0.0013513513513513514 15:0.0013513513513513514 2:0.0013513513513513514 4:0.0013513513513513514 5:0.0013513513513513514 6:0.0013513513513513514 9:0.0013513513513513514
AP890630-0239 8:0.4301948051948052 3:0.2418831168831169 9:0.20292207792207792 1:0.021103896103896104 14:0.01461038961038961 16:0.01461038961038961 19:0.01461038961038961 5:0.01461038961038961 6:0.01461038961038961 7:0.008116883116883116 10:0.008116883116883116 11:0.0016233766233766235 12:0.0016233766233766235 13:0.0016233766233766235 15:0.0016233766233766235 17:0.0016233766233766235 18:0.0016233766233766235 0:0.0016233766233766235 2:0.0016233766233766235 4:0.0016233766233766235
AP890701-0006 0:0.43470149253731344 9:0.14365671641791045 1:0.09888059701492537 13:0.0914179104477612 5:0.08395522388059702 16:0.03171641791044776 8:0.03171641791044776 18:0.016791044776119403 19:0.016791044776119403 6:0.016791044776119403 14:0.009328358208955223 3:0.009328358208955223 11:0.0018656716417910447 12:0.0018656716417910447 15:0.0018656716417910447 17:0.0018656716417910447 2:0.0018656716417910447 4:0.0018656716417910447 7:0.0018656716417910447 10:0.0018656716417910447
AP890701-0016 16:0.3211462450592885 11:0.24209486166007904 18:0.1590909090909091 10:0.12351778656126482 3:0.06818181818181818 13:0.024703557312252964 15:0.016798418972332016 2:0.016798418972332016 19:0.008893280632411068 5:0.004940711462450593 6:0.004940711462450593 12:9.881422924901185E-4 14:9.881422924901185E-4 17:9.881422924901185E-4 0:9.881422924901185E-4 1:9.881422924901185E-4 4:9.881422924901185E-4 7:9.881422924901185E-4 8:9.881422924901185E-4 9:9.881422924901185E-4
AP890701-0071 15:0.48961661341853036 7:0.24680511182108625 3:0.051916932907348244 16:0.03913738019169329 14:0.03274760383386582 17:0.029552715654952075 8:0.029552715654952075 1:0.026357827476038338 19:0.013578274760383386 13:0.010383386581469648 4:0.010383386581469648 12:0.00718849840255591 0:0.00718849840255591 11:7.987220447284345E-4 18:7.987220447284345E-4 2:7.987220447284345E-4 5:7.987220447284345E-4 6:7.987220447284345E-4 9:7.987220447284345E-4 10:7.987220447284345E-4
AP890701-0113 15:0.5439453125 7:0.1220703125 1:0.0908203125 3:0.0478515625 8:0.0400390625 17:0.0361328125 14:0.0283203125 16:0.0166015625 2:0.0166015625 11:0.0126953125 19:0.0087890625 4:0.0087890625 6:0.0087890625 9:0.0087890625 13:0.0048828125 12:9.765625E-4 18:9.765625E-4 0:9.765625E-4 5:9.765625E-4 10:9.765625E-4
AP890701-0129 13:0.1634078212290503 17:0.1634078212290503 6:0.15223463687150837 3:0.14106145251396648 16:0.11871508379888268 8:0.09636871508379888 11:0.07960893854748603 14:0.034916201117318434 1:0.012569832402234637 19:0.006983240223463687 0:0.006983240223463687 5:0.006983240223463687 7:0.006983240223463687 12:0.0013966480446927375 15:0.0013966480446927375 18:0.0013966480446927375 2:0.0013966480446927375 4:0.0013966480446927375 9:0.0013966480446927375 10:0.0013966480446927375
AP890702-0015 18:0.42880434782608695 3:0.21141304347826087 11:0.12010869565217391 16:0.10054347826086957 17:0.03315217391304348 19:0.03315217391304348 12:0.026630434782608695 14:0.01576086956521739 15:0.00923913043478261 2:0.007065217391304348 8:0.007065217391304348 4:0.002717391304347826 13:5.434782608695652E-4 0:5.434782608695652E-4 1:5.434782608695652E-4 5:5.434782608695652E-4 6:5.434782608695652E-4 7:5.434782608695652E-4 9:5.434782608695652E-4 10:5.434782608695652E-4
AP890702-0035 7:0.3649193548387097 16:0.15524193548387097 12:0.11491935483870967 19:0.10685483870967742 15:0.06653225806451613 3:0.06653225806451613 0:0.02620967741935484 11:0.018145161290322582 2:0.018145161290322582 13:0.010080645161290322 17:0.010080645161290322 18:0.010080645161290322 4:0.010080645161290322 9:0.010080645161290322 14:0.0020161290322580645 1:0.0020161290322580645 5:0.0020161290322580645 6:0.0020161290322580645 8:0.0020161290322580645 10:0.0020161290322580645
AP890702-0063 15:0.341 12:0.181 18:0.173 11:0.081 10:0.049 14:0.045 3:0.045 5:0.021 8:0.017 17:0.013 0:0.013 13:0.005 1:0.005 7:0.005 16:0.001 19:0.001 2:0.001 4:0.001 6:0.001 9:0.001
AP890704-0160 9:0.3455188679245283 8:0.31721698113207547 16:0.11910377358490566 3:0.08608490566037735 7:0.04834905660377359 1:0.04363207547169811 14:0.01061320754716981 15:0.01061320754716981 2:0.00589622641509434 11:0.0011792452830188679 12:0.0011792452830188679 13:0.0011792452830188679 17:0.0011792452830188679 18:0.0011792452830188679 19:0.0011792452830188679 0:0.0011792452830188679 4:0.0011792452830188679 5:0.0011792452830188679 6:0.0011792452830188679 10:0.0011792452830188679
AP890705-0114 15:0.41253869969040247 18:0.14009287925696595 12:0.08126934984520123 10:0.08126934984520123 11:0.06888544891640867 19:0.0565015479876161 17:0.037925696594427245 6:0.02863777089783282 8:0.025541795665634675 2:0.02244582043343653 7:0.02244582043343653 13:0.013157894736842105 4:0.003869969040247678 14:7.739938080495357E-4 16:7.739938080495357E-4 0:7.739938080495357E-4 1:7.739938080495357E-4 3:7.739938080495357E-4 5:7.739938080495357E-4 9:7.739938080495357E-4
AP890705-0127 5:0.254149377593361 12:0.1421161825726141 3:0.12551867219917012 16:0.09232365145228216 2:0.08402489626556017 8:0.07987551867219916 19:0.05912863070539419 9:0.03423236514522822 6:0.03008298755186722 15:0.025933609958506226 13:0.021784232365145227 1:0.017634854771784232 4:0.017634854771784232 11:0.005186721991701245 18:0.005186721991701245 14:0.001037344398340249 17:0.001037344398340249 0:0.001037344398340249 7:0.001037344398340249 10:0.001037344398340249
AP890705-0185 0:0.33016877637130804 1:0.2542194092827004 16:0.18670886075949367 8:0.08122362869198312 9:0.04746835443037975 13:0.03481012658227848 2:0.017932489451476793 4:0.013713080168776372 18:0.00949367088607595 3:0.00949367088607595 15:0.005274261603375527 11:0.0010548523206751054 12:0.0010548523206751054 14:0.0010548523206751054 17:0.0010548523206751054 19:0.0010548523206751054 5:0.0010548523206751054 6:0.0010548523206751054 7:0.0010548523206751054 10:0.0010548523206751054
AP890706-0263 8:0.2798329355608592 9:0.17482100238663484 17:0.11276849642004773 16:0.09844868735083533 0:0.08651551312649165 1:0.06026252983293556 14:0.045942720763723154 13:0.03639618138424821 4:0.03639618138424821 3:0.029236276849642005 5:0.024463007159904536 12:0.0029832935560859188 15:0.0029832935560859188 19:0.0029832935560859188 6:0.0029832935560859188 11:5.966587112171838E-4 18:5.966587112171838E-4 2:5.966587112171838E-4 7:5.966587112171838E-4 10:5.966587112171838E-4
AP890707-0127 11:0.3576388888888889 6:0.2835648148148148 18:0.09375 5:0.047453703703703706 7:0.04282407407407408 16:0.03819444444444445 10:0.03819444444444445 15:0.028935185185185185 4:0.024305555555555556 14:0.019675925925925927 19:0.010416666666666666 3:0.005787037037037037 12:0.0011574074074074073 13:0.0011574074074074073 17:0.0011574074074074073 0:0.0011574074074074073 1:0.0011574074074074073 2:0.0011574074074074073 8:0.0011574074074074073 9:0.0011574074074074073
AP890707-0154 12:0.5058139534883721 15:0.17248062015503876 16:0.14147286821705427 6:0.040697674418604654 13:0.03294573643410853 4:0.03294573643410853 3:0.025193798449612403 2:0.01744186046511628 11:0.009689922480620155 14:0.001937984496124031 17:0.001937984496124031 18:0.001937984496124031 19:0.001937984496124031 0:0.001937984496124031 1:0.001937984496124031 5:0.001937984496124031 7:0.001937984496124031 8:0.001937984496124031 9:0.001937984496124031 10:0.001937984496124031
AP890708-0070 12:0.41023166023166024 3:0.23648648648648649 16:0.1167953667953668 8:0.06660231660231661 4:0.03957528957528957 5:0.03571428571428571 13:0.02413127413127413 10:0.016409266409266408 14:0.012548262548262547 15:0.008687258687258687 18:0.008687258687258687 11:0.004826254826254826 19:0.004826254826254826 2:0.004826254826254826 6:0.004826254826254826 17:9.652509652509653E-4 0:9.652509652509653E-4 1:9.652509652509653E-4 7:9.652509652509653E-4 9:9.652509652509653E-4
AP890710-0086 11:0.4276315789473684 16:0.18026315789473685 3:0.12236842105263158 18:0.08552631578947369 10:0.06447368421052632 14:0.017105263157894738 1:0.017105263157894738 4:0.017105263157894738 5:0.017105263157894738 6:0.017105263157894738 12:0.011842105263157895 13:0.006578947368421052 0:0.006578947368421052 15:0.0013157894736842105 17:0.0013157894736842105 19:0.0013157894736842105 2:0.0013157894736842105 7:0.0013157894736842105 8:0.0013157894736842105 9:0.0013157894736842105
AP890710-0099 12:0.43397626112759646 4:0.2678041543026706 3:0.12240356083086053 16:0.10459940652818991 18:0.012611275964391691 2:0.012611275964391691 7:0.009643916913946587 8:0.009643916913946587 15:0.0066765578635014835 0:0.0066765578635014835 1:0.00370919881305638 10:0.00370919881305638 11:7.41839762611276E-4 13:7.41839762611276E-4 14:7.41839762611276E-4 17:7.41839762611276E-4 19:7.41839762611276E-4 5:7.41839762611276E-4 6:7.41839762611276E-4 9:7.41839762611276E-4
AP890710-0165 12:0.6769406392694064 15:0.12899543378995434 18:0.07420091324200913 3:0.03767123287671233 19:0.014840182648401826 4:0.014840182648401826 14:0.010273972602739725 0:0.010273972602739725 2:0.010273972602739725 5:0.010273972602739725 11:0.001141552511415525 13:0.001141552511415525 16:0.001141552511415525 17:0.001141552511415525 1:0.001141552511415525 6:0.001141552511415525 7:0.001141552511415525 8:0.001141552511415525 9:0.001141552511415525 10:0.001141552511415525
AP890710-0232 8:0.2889344262295082 5:0.2725409836065574 1:0.16598360655737704 9:0.09221311475409837 16:0.07581967213114754 13:0.0430327868852459 3:0.02663934426229508 17:0.010245901639344262 11:0.0020491803278688526 12:0.0020491803278688526 14:0.0020491803278688526 15:0.0020491803278688526 18:0.0020491803278688526 19:0.0020491803278688526 0:0.0020491803278688526 2:0.0020491803278688526 4:0.0020491803278688526 6:0.0020491803278688526 7:0.0020491803278688526 10:0.0020491803278688526
AP890711-0034 12:0.45408163265306123 4:0.3112244897959184 3:0.09489795918367347 16:0.07040816326530612 13:0.02142857142857143 2:0.013265306122448979 8:0.009183673469387756 1:0.00510204081632653 7:0.00510204081632653 10:0.00510204081632653 11:0.0010204081632653062 14:0.0010204081632653062 15:0.0010204081632653062 17:0.0010204081632653062 18:0.0010204081632653062 19:0.0010204081632653062 0:0.0010204081632653062 5:0.0010204081632653062 6:0.0010204081632653062 9:0.0010204081632653062
AP890711-0187 12:0.49522292993630573 15:0.28290870488322717 3:0.05360934182590234 7:0.04936305732484077 18:0.042993630573248405 16:0.026008492569002124 14:0.01326963906581741 1:0.009023354564755838 10:0.009023354564755838 11:0.002653927813163482 13:0.002653927813163482 17:0.002653927813163482 19:0.002653927813163482 5:0.002653927813163482 9:0.002653927813163482 0:5.307855626326964E-4 2:5.307855626326964E-4 4:5.307855626326964E-4 6:5.307855626326964E-4 8:5.307855626326964E-4
AP890711-0254 8:0.4817073170731707 9:0.4329268292682927 14:0.018292682926829267 19:0.018292682926829267 13:0.01016260162601626 4:0.01016260162601626 11:0.0020325203252032522 12:0.0020325203252032522 15:0.0020325203252032522 16:0.0020325203252032522 17:0.0020325203252032522 18:0.0020325203252032522 0:0.0020325203252032522 1:0.0020325203252032522 2:0.0020325203252032522 3:0.0020325203252032522 5:0.0020325203252032522 6:0.0020325203252032522 7:0.0020325203252032522 10:0.0020325203252032522
AP890712-0089 12:0.5933476394849786 15:0.17703862660944206 16:0.06974248927038626 18:0.03969957081545064 4:0.03540772532188841 11:0.02682403433476395 19:0.018240343347639486 3:0.018240343347639486 14:0.00536480686695279 0:0.00536480686695279 13:0.001072961373390558 17:0.001072961373390558 1:0.001072961373390558 2:0.001072961373390558 5:0.001072961373390558 6:0.001072961373390558 7:0.001072961373390558 8:0.001072961373390558 9:0.001072961373390558 10:0.001072961373390558
AP890712-0171 12:0.5671521035598706 3:0.11084142394822007 16:0.06877022653721683 5:0.06229773462783172 8:0.052588996763754045 15:0.03964401294498382 13:0.03317152103559871 19:0.023462783171521034 1:0.01699029126213592 10:0.007281553398058253 11:0.0040453074433656954 17:0.0040453074433656954 6:0.0040453074433656954 14:8.090614886731392E-4 18:8.090614886731392E-4 0:8.090614886731392E-4 2:8.090614886731392E-4 4:8.090614886731392E-4 7:8.090614886731392E-4 9:8.090614886731392E-4
AP890713-0001 18:0.44344262295081965 10:0.15491803278688523 3:0.07950819672131147 16:0.06967213114754098 4:0.056557377049180325 11:0.05 5:0.036885245901639344 7:0.036885245901639344 6:0.020491803278688523 14:0.013934426229508197 0:0.013934426229508197 1:0.007377049180327869 8:0.007377049180327869 2:0.004098360655737705 12:8.19672131147541E-4 13:8.19672131147541E-4 15:8.19672131147541E-4 17:8.19672131147541E-4 19:8.19672131147541E-4 9:8.19672131147541E-4
AP890713-0052 10:0.4759259259259259 3:0.26851851851851855 16:0.06111111111111111 11:0.053703703703703705 0:0.03148148148148148 5:0.03148148148148148 17:0.024074074074074074 12:0.009259259259259259 18:0.009259259259259259 1:0.009259259259259259 9:0.009259259259259259 13:0.001851851851851852 14:0.001851851851851852 15:0.001851851851851852 19:0.001851851851851852 2:0.001851851851851852 4:0.001851851851851852 6:0.001851851851851852 7:0.001851851851851852 8:0.001851851851851852
AP890713-0058 3:0.4365284974093264 10:0.2033678756476684 16:0.11010362694300518 19:0.09455958549222798 11:0.03238341968911917 18:0.027202072538860103 17:0.022020725388601035 14:0.01683937823834197 4:0.01683937823834197 8:0.01683937823834197 1:0.011658031088082901 12:0.0012953367875647669 13:0.0012953367875647669 15:0.0012953367875647669 0:0.0012953367875647669 2:0.0012953367875647669 5:0.0012953367875647669 6:0.0012953367875647669 7:0.0012953367875647669 9:0.0012953367875647669
AP890713-0096 10:0.6926369863013698 16:0.09674657534246575 3:0.07962328767123288 11:0.06592465753424658 12:0.0351027397260274 15:0.007705479452054794 8:0.007705479452054794 17:0.004280821917808219 13:8.561643835616438E-4 14:8.561643835616438E-4 18:8.561643835616438E-4 19:8.561643835616438E-4 0:8.561643835616438E-4 1:8.561643835616438E-4 2:8.561643835616438E-4 4:8.561643835616438E-4 5:8.561643835616438E-4 6:8.561643835616438E-4 7:8.561643835616438E-4 9:8.561643835616438E-4
AP890713-0181 19:0.2674050632911392 3:0.21677215189873417 18:0.15981012658227847 16:0.13449367088607594 17:0.07120253164556962 8:0.07120253164556962 7:0.02689873417721519 14:0.020569620253164556 2:0.014240506329113924 11:0.0015822784810126582 12:0.0015822784810126582 13:0.0015822784810126582 15:0.0015822784810126582 0:0.0015822784810126582 1:0.0015822784810126582 4:0.0015822784810126582 5:0.0015822784810126582 6:0.0015822784810126582 9:0.0015822784810126582 10:0.0015822784810126582
AP890713-0219 16:0.23341836734693877 6:0.2181122448979592 18:0.15858843537414966 5:0.06675170068027211 19:0.06505102040816327 11:0.06164965986394558 14:0.0429421768707483 15:0.03443877551020408 8:0.03443877551020408 13:0.027636054421768707 4:0.017431972789115645 0:0.01403061224489796 9:0.007227891156462585 10:0.007227891156462585 3:0.0055272108843537416 17:0.0021258503401360546 2:0.0021258503401360546 12:4.2517006802721087E-4 1:4.2517006802721087E-4 7:4.2517006802721087E-4
AP890714-0076 10:0.6937229437229437 11:0.10497835497835498 3:0.044372294372294376 12:0.03571428571428571 16:0.03571428571428571 7:0.027056277056277056 2:0.01406926406926407 15:0.00974025974025974 17:0.00974025974025974 5:0.00974025974025974 0:0.005411255411255411 13:0.0010822510822510823 14:0.0010822510822510823 18:0.0010822510822510823 19:0.0010822510822510823 1:0.0010822510822510823 4:0.0010822510822510823 6:0.0010822510822510823 8:0.0010822510822510823 9:0.0010822510822510823
AP890714-0234 8:0.3723776223776224 3:0.20454545454545456 17:0.12762237762237763 19:0.057692307692307696 5:0.050699300699300696 12:0.043706293706293704 7:0.03671328671328671 10:0.02972027972027972 14:0.022727272727272728 0:0.022727272727272728 13:0.015734265734265736 11:0.0017482517482517483 15:0.0017482517482517483 16:0.0017482517482517483 18:0.0017482517482517483 1:0.0017482517482517483 2:0.0017482517482517483 4:0.0017482517482517483 6:0.0017482517482517483 9:0.0017482517482517483
AP890714-0258 17:0.3932748538011696 8:0.2880116959064328 3:0.17105263157894737 7:0.04239766081871345 16:0.03070175438596491 6:0.03070175438596491 14:0.013157894736842105 0:0.007309941520467836 9:0.007309941520467836 11:0.0014619883040935672 12:0.0014619883040935672 13:0.0014619883040935672 15:0.0014619883040935672 18:0.0014619883040935672 19:0.0014619883040935672 1:0.0014619883040935672 2:0.0014619883040935672 4:0.0014619883040935672 5:0.0014619883040935672 10:0.0014619883040935672
AP890715-0034 14:0.4452614379084967 3:0.20669934640522875 17:0.16748366013071894 0:0.04330065359477124 16:0.03349673202614379 9:0.02369281045751634 11:0.02042483660130719 13:0.010620915032679739 15:0.010620915032679739 18:0.007352941176470588 19:0.007352941176470588 8:0.007352941176470588 12:0.004084967320261438 6:0.004084967320261438 7:0.004084967320261438 1:8.169934640522876E-4 2:8.169934640522876E-4 4:8.169934640522876E-4 5:8.169934640522876E-4 10:8.169934640522876E-4
AP890715-0049 3:0.3796052631578947 12:0.22960526315789473 15:0.1006578947368421 16:0.06644736842105263 0:0.0506578947368421 8:0.045394736842105265 7:0.026973684210526316 2:0.021710526315789475 13:0.01381578947368421 17:0.01381578947368421 5:0.01118421052631579 10:0.01118421052631579 19:0.008552631578947369 6:0.008552631578947369 4:0.0059210526315789476 18:0.003289473684210526 11:6.578947368421052E-4 14:6.578947368421052E-4 1:6.578947368421052E-4 9:6.578947368421052E-4
AP890716-0026 13:0.2335820895522388 3:0.2007462686567164 8:0.17686567164179104 16:0.11119402985074626 10:0.07238805970149254 9:0.05149253731343283 0:0.04253731343283582 14:0.03955223880597015 1:0.030597014925373135 19:0.018656716417910446 7:0.006716417910447761 11:0.0037313432835820895 15:0.0037313432835820895 6:0.0037313432835820895 12:7.462686567164179E-4 17:7.462686567164179E-4 18:7.462686567164179E-4 2:7.462686567164179E-4 4:7.462686567164179E-4 5:7.462686567164179E-4
AP890716-0107 17:0.49184782608695654 8:0.26358695652173914 3:0.08967391304347826 9:0.04619565217391304 16:0.035326086956521736 13:0.024456521739130436 4:0.01358695652173913 11:0.002717391304347826 12:0.002717391304347826 14:0.002717391304347826 15:0.002717391304347826 18:0.002717391304347826 19:0.002717391304347826 0:0.002717391304347826 1:0.002717391304347826 2:0.002717391304347826 5:0.002717391304347826 6:0.002717391304347826 7:0.002717391304347826 10:0.002717391304347826
AP890717-0233 8:0.45767716535433073 9:0.3316929133858268 16:0.0639763779527559 3:0.04822834645669291 17:0.028543307086614175 2:0.02066929133858268 14:0.01673228346456693 4:0.008858267716535433 12:0.004921259842519685 19:0.004921259842519685 5:0.004921259842519685 11:9.84251968503937E-4 13:9.84251968503937E-4 15:9.84251968503937E-4 18:9.84251968503937E-4 0:9.84251968503937E-4 1:9.84251968503937E-4 6:9.84251968503937E-4 7:9.84251968503937E-4 10:9.84251968503937E-4
AP890718-0047 6:0.5291878172588832 18:0.12309644670050761 11:0.09771573604060914 3:0.07741116751269035 10:0.03680203045685279 8:0.0266497461928934 15:0.021573604060913704 4:0.021573604060913704 7:0.021573604060913704 0:0.01649746192893401 17:0.011421319796954314 14:0.006345177664974619 12:0.0012690355329949238 13:0.0012690355329949238 16:0.0012690355329949238 19:0.0012690355329949238 1:0.0012690355329949238 2:0.0012690355329949238 5:0.0012690355329949238 9:0.0012690355329949238
AP890718-0121 11:0.5099206349206349 13:0.3115079365079365 16:0.057539682539682536 8:0.03373015873015873 5:0.025793650793650792 18:0.017857142857142856 14:0.00992063492063492 6:0.00992063492063492 12:0.001984126984126984 15:0.001984126984126984 17:0.001984126984126984 19:0.001984126984126984 0:0.001984126984126984 1:0.001984126984126984 2:0.001984126984126984 3:0.001984126984126984 4:0.001984126984126984 7:0.001984126984126984 9:0.001984126984126984 10:0.001984126984126984
AP890718-0219 16:0.42059426229508196 10:0.15829918032786885 18:0.12756147540983606 3:0.08657786885245902 5:0.0701844262295082 11:0.05584016393442623 2:0.025102459016393443 13:0.012807377049180328 17:0.008709016393442622 6:0.008709016393442622 9:0.008709016393442622 7:0.00665983606557377 1:0.0025614754098360654 4:0.0025614754098360654 8:0.0025614754098360654 12:5.122950819672131E-4 14:5.122950819672131E-4 15:5.122950819672131E-4 19:5.122950819672131E-4 0:5.122950819672131E-4
AP890718-0235 5:0.33161157024793386 16:0.26136363636363635 8:0.14979338842975207 3:0.07128099173553719 0:0.06301652892561983 1:0.038223140495867766 13:0.025826446280991736 9:0.01756198347107438 17:0.013429752066115703 4:0.009297520661157025 12:0.005165289256198347 18:0.005165289256198347 11:0.0010330578512396695 14:0.0010330578512396695 15:0.0010330578512396695 19:0.0010330578512396695 2:0.0010330578512396695 6:0.0010330578512396695 7:0.0010330578512396695 10:0.0010330578512396695
AP890719-0011 11:0.4087301587301587 13:0.2605820105820106 8:0.08068783068783068 3:0.0701058201058201 19:0.04365079365079365 5:0.04365079365079365 4:0.03306878306878307 2:0.017195767195767195 16:0.011904761904761904 6:0.011904761904761904 14:0.006613756613756613 12:0.0013227513227513227 15:0.0013227513227513227 17:0.0013227513227513227 18:0.0013227513227513227 0:0.0013227513227513227 1:0.0013227513227513227 7:0.0013227513227513227 9:0.0013227513227513227 10:0.0013227513227513227
AP890719-0238 17:0.4026315789473684 8:0.3078947368421053 9:0.15 6:0.04473684210526316 15:0.034210526315789476 1:0.02368421052631579 11:0.002631578947368421 12:0.002631578947368421 13:0.002631578947368421 14:0.002631578947368421 16:0.002631578947368421 18:0.002631578947368421 19:0.002631578947368421 0:0.002631578947368421 2:0.002631578947368421 3:0.002631578947368421 4:0.002631578947368421 5:0.002631578947368421 7:0.002631578947368421 10:0.002631578947368421
AP890719-0272 7:0.3942307692307692 8:0.20619658119658119 3:0.1891025641025641 19:0.125 17:0.05235042735042735 12:0.005341880341880342 16:0.005341880341880342 18:0.005341880341880342 4:0.005341880341880342 11:0.0010683760683760685 13:0.0010683760683760685 14:0.0010683760683760685 15:0.0010683760683760685 0:0.0010683760683760685 1:0.0010683760683760685 2:0.0010683760683760685 5:0.0010683760683760685 6:0.0010683760683760685 9:0.0010683760683760685 10:0.0010683760683760685
AP890719-0301 7:0.2880622837370242 3:0.23615916955017302 8:0.2292387543252595 19:0.10813148788927336 16:0.05968858131487889 17:0.028546712802768166 9:0.014705882352941176 12:0.01124567474048443 11:0.004325259515570935 0:0.004325259515570935 1:0.004325259515570935 4:0.004325259515570935 13:8.650519031141869E-4 14:8.650519031141869E-4 15:8.650519031141869E-4 18:8.650519031141869E-4 2:8.650519031141869E-4 5:8.650519031141869E-4 6:8.650519031141869E-4 10:8.650519031141869E-4
AP890720-0116 3:0.40221088435374147 13:0.30357142857142855 8:0.19472789115646258 4:0.021258503401360544 15:0.01445578231292517 17:0.01445578231292517 10:0.01445578231292517 16:0.011054421768707483 5:0.007653061224489796 14:0.004251700680272109 2:0.004251700680272109 11:8.503401360544217E-4 12:8.503401360544217E-4 18:8.503401360544217E-4 19:8.503401360544217E-4 0:8.503401360544217E-4 1:8.503401360544217E-4 6:8.503401360544217E-4 7:8.503401360544217E-4 9:8.503401360544217E-4
AP890720-0136 15:0.3190789473684211 19:0.22697368421052633 3:0.2138157894736842 16:0.11907894736842105 1:0.03223684210526316 10:0.03223684210526316 7:0.024342105263157894 8:0.01118421052631579 12:0.0059210526315789476 2:0.0059210526315789476 18:0.003289473684210526 11:6.578947368421052E-4 13:6.578947368421052E-4 14:6.578947368421052E-4 17:6.578947368421052E-4 0:6.578947368421052E-4 4:6.578947368421052E-4 5:6.578947368421052E-4 6:6.578947368421052E-4 9:6.578947368421052E-4
AP890720-0216 6:0.34938837920489296 16:0.2545871559633027 5:0.11697247706422019 3:0.08944954128440367 2:0.05581039755351682 13:0.034403669724770644 1:0.02522935779816514 9:0.02217125382262997 10:0.02217125382262997 15:0.009938837920489297 17:0.006880733944954129 18:0.00382262996941896 4:0.00382262996941896 11:7.645259938837921E-4 12:7.645259938837921E-4 14:7.645259938837921E-4 19:7.645259938837921E-4 0:7.645259938837921E-4 7:7.645259938837921E-4 8:7.645259938837921E-4
