AP890102-0099 1:0.4438622754491018 3:0.21332335329341318 9:0.14146706586826346 12:0.04266467065868264 15:0.027694610778443114 14:0.02470059880239521 10:0.02470059880239521 13:0.015718562874251496 2:0.012724550898203593 6:0.012724550898203593 19:0.009730538922155689 8:0.009730538922155689 16:0.006736526946107785 5:0.006736526946107785 0:0.0037425149700598802 11:7.485029940119761E-4 17:7.485029940119761E-4 18:7.485029940119761E-4 4:7.485029940119761E-4 7:7.485029940119761E-4
AP890613-0237 17:0.3648459383753501 9:0.21358543417366946 4:0.12394957983193278 11:0.08473389355742297 2:0.04831932773109244 3:0.04831932773109244 14:0.028711484593837534 12:0.023109243697478993 5:0.023109243697478993 6:0.02030812324929972 10:0.011904761904761904 13:0.0035014005602240898 15:7.002801120448179E-4 16:7.002801120448179E-4 18:7.002801120448179E-4 19:7.002801120448179E-4 0:7.002801120448179E-4 1:7.002801120448179E-4 7:7.002801120448179E-4 8:7.002801120448179E-4
AP890613-0252 4:0.6244939271255061 9:0.13866396761133604 11:0.06983805668016195 1:0.03744939271255061 16:0.029352226720647773 5:0.02125506072874494 13:0.01720647773279352 19:0.01720647773279352 2:0.009109311740890687 3:0.009109311740890687 10:0.009109311740890687 7:0.005060728744939271 8:0.005060728744939271 12:0.0010121457489878543 14:0.0010121457489878543 15:0.0010121457489878543 17:0.0010121457489878543 18:0.0010121457489878543 0:0.0010121457489878543 6:0.0010121457489878543
AP890614-0014 17:0.37876712328767126 11:0.22534246575342465 3:0.12397260273972603 9:0.08835616438356164 4:0.05547945205479452 5:0.028082191780821917 16:0.025342465753424658 14:0.01986301369863014 2:0.017123287671232876 1:0.011643835616438357 19:0.008904109589041096 8:0.008904109589041096 0:0.003424657534246575 12:6.849315068493151E-4 13:6.849315068493151E-4 15:6.849315068493151E-4 18:6.849315068493151E-4 6:6.849315068493151E-4 7:6.849315068493151E-4 10:6.849315068493151E-4
AP890614-0084 4:0.45229007633587787 9:0.383587786259542 11:0.04770992366412214 3:0.04007633587786259 6:0.02480916030534351 2:0.01717557251908397 15:0.009541984732824428 12:0.0019083969465648854 13:0.0019083969465648854 14:0.0019083969465648854 16:0.0019083969465648854 17:0.0019083969465648854 18:0.0019083969465648854 19:0.0019083969465648854 0:0.0019083969465648854 1:0.0019083969465648854 5:0.0019083969465648854 7:0.0019083969465648854 8:0.0019083969465648854 10:0.0019083969465648854
AP890614-0163 9:0.5815217391304348 15:0.125 3:0.05253623188405797 6:0.05253623188405797 11:0.03804347826086957 1:0.03804347826086957 7:0.03804347826086957 12:0.02355072463768116 0:0.016304347826086956 2:0.009057971014492754 5:0.009057971014492754 13:0.0018115942028985507 14:0.0018115942028985507 16:0.0018115942028985507 17:0.0018115942028985507 18:0.0018115942028985507 19:0.0018115942028985507 4:0.0018115942028985507 8:0.0018115942028985507 10:0.0018115942028985507
AP890614-0197 15:0.47897196261682246 6:0.1425233644859813 9:0.1425233644859813 1:0.08644859813084112 11:0.04906542056074766 10:0.030373831775700934 0:0.011682242990654205 3:0.011682242990654205 5:0.011682242990654205 8:0.011682242990654205 12:0.002336448598130841 13:0.002336448598130841 14:0.002336448598130841 16:0.002336448598130841 17:0.002336448598130841 18:0.002336448598130841 19:0.002336448598130841 2:0.002336448598130841 4:0.002336448598130841 7:0.002336448598130841
AP890614-0235 4:0.5738095238095238 11:0.15476190476190477 16:0.10714285714285714 13:0.0880952380952381 9:0.030952380952380953 15:0.011904761904761904 12:0.002380952380952381 14:0.002380952380952381 17:0.002380952380952381 18:0.002380952380952381 19:0.002380952380952381 0:0.002380952380952381 1:0.002380952380952381 2:0.002380952380952381 3:0.002380952380952381 5:0.002380952380952381 6:0.002380952380952381 7:0.002380952380952381 8:0.002380952380952381 10:0.002380952380952381
AP890614-0252 18:0.38871951219512196 6:0.2342479674796748 11:0.1285569105691057 9:0.11432926829268293 3:0.07164634146341463 13:0.03709349593495935 12:0.008638211382113821 17:0.0066056910569105695 7:0.004573170731707317 14:5.081300813008131E-4 15:5.081300813008131E-4 16:5.081300813008131E-4 19:5.081300813008131E-4 0:5.081300813008131E-4 1:5.081300813008131E-4 2:5.081300813008131E-4 4:5.081300813008131E-4 5:5.081300813008131E-4 8:5.081300813008131E-4 10:5.081300813008131E-4
AP890615-0101 8:0.36790393013100436 18:0.18013100436681223 15:0.1408296943231441 3:0.07969432314410481 1:0.07096069868995633 9:0.04912663755458515 2:0.03165938864628821 10:0.027292576419213975 19:0.02292576419213974 13:0.014192139737991267 6:0.0054585152838427945 11:0.001091703056768559 12:0.001091703056768559 14:0.001091703056768559 16:0.001091703056768559 17:0.001091703056768559 0:0.001091703056768559 4:0.001091703056768559 5:0.001091703056768559 7:0.001091703056768559
AP890615-0209 15:0.2565274151436031 3:0.18342036553524804 1:0.16775456919060053 8:0.09986945169712794 7:0.06592689295039164 9:0.05548302872062663 13:0.04503916449086162 10:0.034595300261096605 19:0.0293733681462141 6:0.02154046997389034 18:0.018929503916449087 2:0.01370757180156658 12:0.0032637075718015664 11:6.527415143603133E-4 14:6.527415143603133E-4 16:6.527415143603133E-4 17:6.527415143603133E-4 0:6.527415143603133E-4 4:6.527415143603133E-4 5:6.527415143603133E-4
AP890615-0215 19:0.23095703125 6:0.15283203125 9:0.15087890625 3:0.13916015625 11:0.09814453125 2:0.03564453125 13:0.02978515625 1:0.02978515625 16:0.02783203125 15:0.02587890625 10:0.01806640625 8:0.01611328125 17:0.01220703125 0:0.00830078125 4:0.00830078125 12:0.00634765625 14:0.00439453125 18:0.00439453125 5:4.8828125E-4 7:4.8828125E-4
AP890615-0231 9:0.46130952380952384 4:0.28273809523809523 11:0.1359126984126984 3:0.04861111111111111 18:0.028769841269841268 15:0.016865079365079364 17:0.00496031746031746 5:0.00496031746031746 8:0.00496031746031746 12:9.92063492063492E-4 13:9.92063492063492E-4 14:9.92063492063492E-4 16:9.92063492063492E-4 19:9.92063492063492E-4 0:9.92063492063492E-4 1:9.92063492063492E-4 2:9.92063492063492E-4 6:9.92063492063492E-4 7:9.92063492063492E-4 10:9.92063492063492E-4
AP890615-0268 14:0.928030303030303 11:0.003787878787878788 12:0.003787878787878788 13:0.003787878787878788 15:0.003787878787878788 16:0.003787878787878788 17:0.003787878787878788 18:0.003787878787878788 19:0.003787878787878788 0:0.003787878787878788 1:0.003787878787878788 2:0.003787878787878788 3:0.003787878787878788 4:0.003787878787878788 5:0.003787878787878788 6:0.003787878787878788 7:0.003787878787878788 8:0.003787878787878788 9:0.003787878787878788 10:0.003787878787878788
AP890616-0210 7:0.3451834862385321 17:0.1341743119266055 9:0.12958715596330275 0:0.11123853211009174 6:0.08371559633027523 3:0.07912844036697247 10:0.03784403669724771 1:0.0194954128440367 18:0.014908256880733946 2:0.014908256880733946 13:0.005733944954128441 14:0.005733944954128441 16:0.005733944954128441 4:0.005733944954128441 11:0.0011467889908256881 12:0.0011467889908256881 15:0.0011467889908256881 19:0.0011467889908256881 5:0.0011467889908256881 8:0.0011467889908256881
AP890619-0025 9:0.4300373134328358 6:0.34421641791044777 11:0.0830223880597015 3:0.03824626865671642 13:0.030783582089552237 1:0.01958955223880597 14:0.012126865671641791 7:0.012126865671641791 10:0.008395522388059701 12:0.0046641791044776115 19:0.0046641791044776115 5:0.0046641791044776115 15:9.328358208955224E-4 16:9.328358208955224E-4 17:9.328358208955224E-4 18:9.328358208955224E-4 0:9.328358208955224E-4 2:9.328358208955224E-4 4:9.328358208955224E-4 8:9.328358208955224E-4
AP890619-0247 19:0.22662337662337662 6:0.17467532467532468 9:0.17207792207792208 3:0.1512987012987013 11:0.09935064935064936 2:0.05519480519480519 13:0.024025974025974027 16:0.024025974025974027 15:0.013636363636363636 1:0.013636363636363636 17:0.01103896103896104 4:0.01103896103896104 10:0.008441558441558441 8:0.005844155844155844 14:0.003246753246753247 5:0.003246753246753247 12:6.493506493506494E-4 18:6.493506493506494E-4 0:6.493506493506494E-4 7:6.493506493506494E-4
AP890619-0262 18:0.3785569105691057 6:0.23628048780487804 11:0.13871951219512196 9:0.11026422764227642 3:0.06961382113821138 13:0.043191056910569105 12:0.008638211382113821 17:0.0066056910569105695 7:0.002540650406504065 14:5.081300813008131E-4 15:5.081300813008131E-4 16:5.081300813008131E-4 19:5.081300813008131E-4 0:5.081300813008131E-4 1:5.081300813008131E-4 2:5.081300813008131E-4 4:5.081300813008131E-4 5:5.081300813008131E-4 8:5.081300813008131E-4 10:5.081300813008131E-4
AP890620-0023 12:0.6652652005174644 17:0.16073738680465718 6:0.06241914618369987 13:0.021021992238033634 7:0.018434670116429495 11:0.015847347994825355 1:0.010672703751617076 16:0.009379042690815007 2:0.008085381630012937 18:0.005498059508408797 19:0.005498059508408797 9:0.005498059508408797 4:0.004204398447606727 8:0.0029107373868046574 0:0.0016170763260025874 3:0.0016170763260025874 14:3.234152652005175E-4 15:3.234152652005175E-4 5:3.234152652005175E-4 10:3.234152652005175E-4
AP890620-0030 18:0.49142156862745096 9:0.18259803921568626 1:0.10416666666666667 8:0.08455882352941177 3:0.07475490196078431 11:0.020833333333333332 0:0.011029411764705883 12:0.006127450980392157 4:0.006127450980392157 10:0.006127450980392157 13:0.0012254901960784314 14:0.0012254901960784314 15:0.0012254901960784314 16:0.0012254901960784314 17:0.0012254901960784314 19:0.0012254901960784314 2:0.0012254901960784314 5:0.0012254901960784314 6:0.0012254901960784314 7:0.0012254901960784314
AP890620-0045 12:0.5008223684210527 17:0.32319078947368424 11:0.06332236842105263 9:0.05016447368421053 0:0.02055921052631579 13:0.017269736842105265 16:0.007401315789473684 18:0.007401315789473684 14:8.223684210526315E-4 15:8.223684210526315E-4 19:8.223684210526315E-4 1:8.223684210526315E-4 2:8.223684210526315E-4 3:8.223684210526315E-4 4:8.223684210526315E-4 5:8.223684210526315E-4 6:8.223684210526315E-4 7:8.223684210526315E-4 8:8.223684210526315E-4 10:8.223684210526315E-4
AP890620-0046 8:0.5400943396226415 15:0.09669811320754718 3:0.08726415094339622 13:0.0589622641509434 16:0.0589622641509434 9:0.030660377358490566 1:0.02122641509433962 7:0.02122641509433962 17:0.01179245283018868 19:0.01179245283018868 2:0.01179245283018868 4:0.01179245283018868 6:0.01179245283018868 10:0.01179245283018868 11:0.0023584905660377358 12:0.0023584905660377358 14:0.0023584905660377358 18:0.0023584905660377358 0:0.0023584905660377358 5:0.0023584905660377358
AP890620-0099 8:0.3918269230769231 3:0.359775641025641 1:0.11939102564102565 11:0.020032051282051284 13:0.020032051282051284 6:0.016826923076923076 7:0.016826923076923076 12:0.010416666666666666 0:0.010416666666666666 18:0.007211538461538462 19:0.007211538461538462 17:0.004006410256410256 2:0.004006410256410256 9:0.004006410256410256 10:0.004006410256410256 14:8.012820512820513E-4 15:8.012820512820513E-4 16:8.012820512820513E-4 4:8.012820512820513E-4 5:8.012820512820513E-4
AP890620-0152 17:0.4125 9:0.2125 14:0.0925 12:0.0625 0:0.0625 6:0.0425 5:0.0325 13:0.0225 18:0.0225 11:0.0125 15:0.0025 16:0.0025 19:0.0025 1:0.0025 2:0.0025 3:0.0025 4:0.0025 7:0.0025 8:0.0025 10:0.0025
AP890620-0220 4:0.43364197530864196 11:0.24228395061728394 9:0.14969135802469136 17:0.06944444444444445 3:0.032407407407407406 6:0.026234567901234566 8:0.013888888888888888 13:0.007716049382716049 1:0.007716049382716049 12:0.0015432098765432098 14:0.0015432098765432098 15:0.0015432098765432098 16:0.0015432098765432098 18:0.0015432098765432098 19:0.0015432098765432098 0:0.0015432098765432098 2:0.0015432098765432098 5:0.0015432098765432098 7:0.0015432098765432098 10:0.0015432098765432098
AP890621-0068 18:0.7613122171945701 8:0.08710407239819004 9:0.07352941176470588 3:0.03733031674208145 1:0.014705882352941176 19:0.005656108597285068 5:0.005656108597285068 11:0.0011312217194570137 12:0.0011312217194570137 13:0.0011312217194570137 14:0.0011312217194570137 15:0.0011312217194570137 16:0.0011312217194570137 17:0.0011312217194570137 0:0.0011312217194570137 2:0.0011312217194570137 4:0.0011312217194570137 6:0.0011312217194570137 7:0.0011312217194570137 10:0.0011312217194570137
AP890621-0152 18:0.6240079365079365 9:0.14384920634920634 3:0.1001984126984127 1:0.03670634920634921 16:0.016865079365079364 2:0.016865079365079364 8:0.016865079365079364 6:0.012896825396825396 11:0.008928571428571428 12:0.008928571428571428 17:0.00496031746031746 13:9.92063492063492E-4 14:9.92063492063492E-4 15:9.92063492063492E-4 19:9.92063492063492E-4 0:9.92063492063492E-4 4:9.92063492063492E-4 5:9.92063492063492E-4 7:9.92063492063492E-4 10:9.92063492063492E-4
AP890621-0253 6:0.4680451127819549 11:0.11466165413533834 4:0.08458646616541353 13:0.07706766917293233 0:0.05451127819548872 3:0.05451127819548872 17:0.039473684210526314 1:0.03195488721804511 7:0.016917293233082706 8:0.016917293233082706 15:0.009398496240601503 16:0.009398496240601503 18:0.009398496240601503 12:0.0018796992481203006 14:0.0018796992481203006 19:0.0018796992481203006 2:0.0018796992481203006 5:0.0018796992481203006 9:0.0018796992481203006 10:0.0018796992481203006
AP890621-0279 16:0.35919540229885055 9:0.22126436781609196 6:0.1752873563218391 11:0.10632183908045977 13:0.03735632183908046 10:0.03735632183908046 12:0.014367816091954023 8:0.014367816091954023 14:0.0028735632183908046 15:0.0028735632183908046 17:0.0028735632183908046 18:0.0028735632183908046 19:0.0028735632183908046 0:0.0028735632183908046 1:0.0028735632183908046 2:0.0028735632183908046 3:0.0028735632183908046 4:0.0028735632183908046 5:0.0028735632183908046 7:0.0028735632183908046
AP890622-0201 9:0.41097560975609754 15:0.1524390243902439 17:0.08902439024390243 6:0.06951219512195123 8:0.06463414634146342 2:0.054878048780487805 11:0.04024390243902439 13:0.025609756097560974 14:0.025609756097560974 1:0.020731707317073172 16:0.01097560975609756 18:0.006097560975609756 4:0.006097560975609756 5:0.006097560975609756 7:0.006097560975609756 10:0.006097560975609756 12:0.0012195121951219512 19:0.0012195121951219512 0:0.0012195121951219512 3:0.0012195121951219512
AP890622-0270 7:0.32435344827586204 10:0.20797413793103448 3:0.16918103448275862 9:0.09590517241379311 2:0.07866379310344827 12:0.03987068965517242 18:0.03125 14:0.022629310344827586 17:0.005387931034482759 19:0.005387931034482759 0:0.005387931034482759 5:0.005387931034482759 11:0.0010775862068965517 13:0.0010775862068965517 15:0.0010775862068965517 16:0.0010775862068965517 1:0.0010775862068965517 4:0.0010775862068965517 6:0.0010775862068965517 8:0.0010775862068965517
AP890622-0304 6:0.6609848484848485 9:0.13068181818181818 11:0.10037878787878787 3:0.03977272727272727 13:0.017045454545454544 19:0.017045454545454544 17:0.00946969696969697 12:0.001893939393939394 14:0.001893939393939394 15:0.001893939393939394 16:0.001893939393939394 18:0.001893939393939394 0:0.001893939393939394 1:0.001893939393939394 2:0.001893939393939394 4:0.001893939393939394 5:0.001893939393939394 7:0.001893939393939394 8:0.001893939393939394 10:0.001893939393939394
AP890622-0332 4:0.5752427184466019 11:0.11893203883495146 16:0.10922330097087378 5:0.050970873786407765 9:0.0412621359223301 8:0.021844660194174758 19:0.012135922330097087 1:0.012135922330097087 6:0.012135922330097087 7:0.012135922330097087 10:0.012135922330097087 12:0.0024271844660194173 13:0.0024271844660194173 14:0.0024271844660194173 15:0.0024271844660194173 17:0.0024271844660194173 18:0.0024271844660194173 0:0.0024271844660194173 2:0.0024271844660194173 3:0.0024271844660194173
AP890623-0189 2:0.7275510204081632 3:0.09489795918367347 9:0.09081632653061225 15:0.0336734693877551 19:0.017346938775510204 16:0.009183673469387756 17:0.00510204081632653 0:0.00510204081632653 7:0.00510204081632653 11:0.0010204081632653062 12:0.0010204081632653062 13:0.0010204081632653062 14:0.0010204081632653062 18:0.0010204081632653062 1:0.0010204081632653062 4:0.0010204081632653062 5:0.0010204081632653062 6:0.0010204081632653062 8:0.0010204081632653062 10:0.0010204081632653062
AP890623-0214 6:0.5075757575757576 9:0.17857142857142858 3:0.08333333333333333 13:0.07467532467532467 16:0.05735930735930736 11:0.03571428571428571 4:0.022727272727272728 15:0.01406926406926407 12:0.005411255411255411 1:0.005411255411255411 2:0.005411255411255411 14:0.0010822510822510823 17:0.0010822510822510823 18:0.0010822510822510823 19:0.0010822510822510823 0:0.0010822510822510823 5:0.0010822510822510823 7:0.0010822510822510823 8:0.0010822510822510823 10:0.0010822510822510823
AP890623-0275 0:0.580316742081448 9:0.20927601809954752 18:0.06447963800904978 3:0.03733031674208145 5:0.03733031674208145 10:0.019230769230769232 11:0.014705882352941176 15:0.010180995475113122 7:0.010180995475113122 2:0.005656108597285068 12:0.0011312217194570137 13:0.0011312217194570137 14:0.0011312217194570137 16:0.0011312217194570137 17:0.0011312217194570137 19:0.0011312217194570137 1:0.0011312217194570137 4:0.0011312217194570137 6:0.0011312217194570137 8:0.0011312217194570137
AP890626-0105 11:0.2852941176470588 14:0.22647058823529412 17:0.22647058823529412 13:0.15588235294117647 3:0.03823529411764706 18:0.014705882352941176 2:0.014705882352941176 12:0.0029411764705882353 15:0.0029411764705882353 16:0.0029411764705882353 19:0.0029411764705882353 0:0.0029411764705882353 1:0.0029411764705882353 4:0.0029411764705882353 5:0.0029411764705882353 6:0.0029411764705882353 7:0.0029411764705882353 8:0.0029411764705882353 9:0.0029411764705882353 10:0.0029411764705882353
AP890626-0246 1:0.49439102564102566 9:0.25400641025641024 10:0.18028846153846154 0:0.032852564102564104 2:0.010416666666666666 19:0.007211538461538462 18:0.004006410256410256 5:0.004006410256410256 6:0.004006410256410256 11:8.012820512820513E-4 12:8.012820512820513E-4 13:8.012820512820513E-4 14:8.012820512820513E-4 15:8.012820512820513E-4 16:8.012820512820513E-4 17:8.012820512820513E-4 3:8.012820512820513E-4 4:8.012820512820513E-4 7:8.012820512820513E-4 8:8.012820512820513E-4
AP890628-0021 5:0.46693735498839906 11:0.330046403712297 13:0.04698375870069606 6:0.03538283062645012 3:0.03306264501160093 9:0.03074245939675174 10:0.016821345707656612 16:0.012180974477958236 12:0.0075406032482598605 19:0.005220417633410673 1:0.005220417633410673 15:0.002900232018561485 4:0.002900232018561485 14:5.80046403712297E-4 17:5.80046403712297E-4 18:5.80046403712297E-4 0:5.80046403712297E-4 2:5.80046403712297E-4 7:5.80046403712297E-4 8:5.80046403712297E-4
AP890628-0089 1:0.4768370607028754 9:0.23083067092651757 10:0.20207667731629392 0:0.051916932907348244 17:0.013578274760383386 6:0.00718849840255591 11:0.003993610223642172 3:0.003993610223642172 12:7.987220447284345E-4 13:7.987220447284345E-4 14:7.987220447284345E-4 15:7.987220447284345E-4 16:7.987220447284345E-4 18:7.987220447284345E-4 19:7.987220447284345E-4 2:7.987220447284345E-4 4:7.987220447284345E-4 5:7.987220447284345E-4 7:7.987220447284345E-4 8:7.987220447284345E-4
AP890628-0155 5:0.573076923076923 9:0.20384615384615384 11:0.08076923076923077 4:0.06538461538461539 17:0.019230769230769232 12:0.0038461538461538464 13:0.0038461538461538464 14:0.0038461538461538464 15:0.0038461538461538464 16:0.0038461538461538464 18:0.0038461538461538464 19:0.0038461538461538464 0:0.0038461538461538464 1:0.0038461538461538464 2:0.0038461538461538464 3:0.0038461538461538464 6:0.0038461538461538464 7:0.0038461538461538464 8:0.0038461538461538464 10:0.0038461538461538464
AP890628-0173 12:0.9627659574468085 8:0.009574468085106383 6:0.005319148936170213 7:0.005319148936170213 11:0.0010638297872340426 13:0.0010638297872340426 14:0.0010638297872340426 15:0.0010638297872340426 16:0.0010638297872340426 17:0.0010638297872340426 18:0.0010638297872340426 19:0.0010638297872340426 0:0.0010638297872340426 1:0.0010638297872340426 2:0.0010638297872340426 3:0.0010638297872340426 4:0.0010638297872340426 5:0.0010638297872340426 9:0.0010638297872340426 10:0.0010638297872340426
AP890628-0198 8:0.38636363636363635 9:0.14393939393939395 6:0.13528138528138528 3:0.09199134199134198 11:0.05735930735930736 0:0.05735930735930736 1:0.044372294372294376 10:0.027056277056277056 19:0.01406926406926407 7:0.01406926406926407 16:0.00974025974025974 4:0.005411255411255411 5:0.005411255411255411 12:0.0010822510822510823 13:0.0010822510822510823 14:0.0010822510822510823 15:0.0010822510822510823 17:0.0010822510822510823 18:0.0010822510822510823 2:0.0010822510822510823
AP890630-0096 2:0.46125 9:0.25625 3:0.12125 1:0.04625 12:0.03125 15:0.01625 19:0.01625 11:0.01125 16:0.00625 17:0.00625 18:0.00625 4:0.00625 5:0.00625 13:0.00125 14:0.00125 0:0.00125 6:0.00125 7:0.00125 8:0.00125 10:0.00125
AP890630-0138 5:0.6811926605504587 9:0.18577981651376146 15:0.0389908256880734 12:0.020642201834862386 19:0.020642201834862386 0:0.011467889908256881 3:0.011467889908256881 11:0.0022935779816513763 13:0.0022935779816513763 14:0.0022935779816513763 16:0.0022935779816513763 17:0.0022935779816513763 18:0.0022935779816513763 1:0.0022935779816513763 2:0.0022935779816513763 4:0.0022935779816513763 6:0.0022935779816513763 7:0.0022935779816513763 8:0.0022935779816513763 10:0.0022935779816513763
AP890630-0173 9:0.2896145610278373 1:0.26605995717344755 3:0.0904710920770878 18:0.07119914346895075 12:0.05192719486081371 15:0.04978586723768737 8:0.04764453961456103 19:0.04122055674518201 11:0.03907922912205567 7:0.017665952890792293 5:0.011241970021413276 6:0.011241970021413276 14:0.006959314775160599 10:0.0026766595289079227 13:5.353319057815846E-4 16:5.353319057815846E-4 17:5.353319057815846E-4 0:5.353319057815846E-4 2:5.353319057815846E-4 4:5.353319057815846E-4
AP890630-0253 17:0.4563953488372093 11:0.15406976744186046 6:0.07267441860465117 16:0.061046511627906974 3:0.061046511627906974 13:0.02616279069767442 15:0.02616279069767442 18:0.02616279069767442 8:0.02616279069767442 1:0.014534883720930232 5:0.014534883720930232 7:0.014534883720930232 9:0.014534883720930232 10:0.014534883720930232 12:0.0029069767441860465 14:0.0029069767441860465 19:0.0029069767441860465 0:0.0029069767441860465 2:0.0029069767441860465 4:0.0029069767441860465
AP890630-0260 2:0.5576923076923077 9:0.27958579881656803 3:0.07248520710059171 12:0.019230769230769232 17:0.013313609467455622 16:0.0073964497041420114 18:0.0073964497041420114 0:0.0073964497041420114 1:0.0073964497041420114 6:0.0073964497041420114 10:0.0073964497041420114 11:0.0014792899408284023 13:0.0014792899408284023 14:0.0014792899408284023 15:0.0014792899408284023 19:0.0014792899408284023 4:0.0014792899408284023 5:0.0014792899408284023 7:0.0014792899408284023 8:0.0014792899408284023
AP890701-0110 8:0.625 9:0.13443396226415094 11:0.049528301886792456 15:0.049528301886792456 3:0.049528301886792456 1:0.04009433962264151 18:0.02122641509433962 12:0.0023584905660377358 13:0.0023584905660377358 14:0.0023584905660377358 16:0.0023584905660377358 17:0.0023584905660377358 19:0.0023584905660377358 0:0.0023584905660377358 2:0.0023584905660377358 4:0.0023584905660377358 5:0.0023584905660377358 6:0.0023584905660377358 7:0.0023584905660377358 10:0.0023584905660377358
AP890702-0048 12:0.9143598615916955 3:0.014705882352941176 16:0.01124567474048443 7:0.01124567474048443 17:0.007785467128027681 19:0.007785467128027681 2:0.007785467128027681 14:0.004325259515570935 0:0.004325259515570935 8:0.004325259515570935 10:0.004325259515570935 11:8.650519031141869E-4 13:8.650519031141869E-4 15:8.650519031141869E-4 18:8.650519031141869E-4 1:8.650519031141869E-4 4:8.650519031141869E-4 5:8.650519031141869E-4 6:8.650519031141869E-4 9:8.650519031141869E-4
AP890703-0117 11:0.19166666666666668 13:0.15833333333333333 3:0.13452380952380952 19:0.12023809523809524 9:0.11547619047619048 15:0.058333333333333334 8:0.04880952380952381 1:0.039285714285714285 10:0.034523809523809526 2:0.025 16:0.02023809523809524 12:0.015476190476190477 14:0.010714285714285714 17:0.010714285714285714 4:0.010714285714285714 18:0.0011904761904761906 0:0.0011904761904761906 5:0.0011904761904761906 6:0.0011904761904761906 7:0.0011904761904761906
AP890703-0208 4:0.5537280701754386 11:0.21162280701754385 9:0.0800438596491228 3:0.0756578947368421 19:0.03618421052631579 16:0.01425438596491228 13:0.009868421052631578 14:0.005482456140350877 12:0.0010964912280701754 15:0.0010964912280701754 17:0.0010964912280701754 18:0.0010964912280701754 0:0.0010964912280701754 1:0.0010964912280701754 2:0.0010964912280701754 5:0.0010964912280701754 6:0.0010964912280701754 7:0.0010964912280701754 8:0.0010964912280701754 10:0.0010964912280701754
AP890703-0276 16:0.3210659898477157 11:0.25 0:0.19416243654822335 6:0.1434010152284264 12:0.021573604060913704 13:0.021573604060913704 5:0.01649746192893401 14:0.006345177664974619 19:0.006345177664974619 3:0.006345177664974619 15:0.0012690355329949238 17:0.0012690355329949238 18:0.0012690355329949238 1:0.0012690355329949238 2:0.0012690355329949238 4:0.0012690355329949238 7:0.0012690355329949238 8:0.0012690355329949238 9:0.0012690355329949238 10:0.0012690355329949238
AP890704-0038 18:0.6508620689655172 8:0.2025862068965517 3:0.07040229885057471 16:0.03017241379310345 12:0.007183908045977011 14:0.007183908045977011 15:0.007183908045977011 4:0.007183908045977011 11:0.0014367816091954023 13:0.0014367816091954023 17:0.0014367816091954023 19:0.0014367816091954023 0:0.0014367816091954023 1:0.0014367816091954023 2:0.0014367816091954023 5:0.0014367816091954023 6:0.0014367816091954023 7:0.0014367816091954023 9:0.0014367816091954023 10:0.0014367816091954023
AP890704-0141 18:0.6790322580645162 8:0.15645161290322582 3:0.09838709677419355 16:0.014516129032258065 13:0.008064516129032258 4:0.008064516129032258 6:0.008064516129032258 9:0.008064516129032258 11:0.0016129032258064516 12:0.0016129032258064516 14:0.0016129032258064516 15:0.0016129032258064516 17:0.0016129032258064516 19:0.0016129032258064516 0:0.0016129032258064516 1:0.0016129032258064516 2:0.0016129032258064516 5:0.0016129032258064516 7:0.0016129032258064516 10:0.0016129032258064516
AP890704-0160 6:0.4964622641509434 13:0.15212264150943397 9:0.11910377358490566 11:0.05778301886792453 3:0.05306603773584906 14:0.03891509433962264 5:0.024764150943396228 2:0.020047169811320754 0:0.015330188679245283 12:0.00589622641509434 15:0.00589622641509434 16:0.0011792452830188679 17:0.0011792452830188679 18:0.0011792452830188679 19:0.0011792452830188679 1:0.0011792452830188679 4:0.0011792452830188679 7:0.0011792452830188679 8:0.0011792452830188679 10:0.0011792452830188679
AP890704-0173 17:0.2934322033898305 3:0.1705508474576271 4:0.1027542372881356 2:0.09851694915254237 5:0.0815677966101695 11:0.06885593220338983 7:0.0646186440677966 16:0.03919491525423729 9:0.026483050847457626 19:0.013771186440677966 10:0.013771186440677966 18:0.009533898305084746 12:0.005296610169491525 0:0.005296610169491525 13:0.001059322033898305 14:0.001059322033898305 15:0.001059322033898305 1:0.001059322033898305 6:0.001059322033898305 8:0.001059322033898305
AP890705-0011 5:0.44450800915331806 10:0.2316933638443936 3:0.09897025171624714 9:0.08752860411899313 11:0.060068649885583525 12:0.041762013729977114 0:0.014302059496567507 16:0.007437070938215103 7:0.005148741418764302 18:0.002860411899313501 13:5.720823798627002E-4 14:5.720823798627002E-4 15:5.720823798627002E-4 17:5.720823798627002E-4 19:5.720823798627002E-4 1:5.720823798627002E-4 2:5.720823798627002E-4 4:5.720823798627002E-4 6:5.720823798627002E-4 8:5.720823798627002E-4
AP890705-0024 18:0.6053459119496856 8:0.17767295597484276 3:0.05817610062893082 11:0.05188679245283019 9:0.05188679245283019 16:0.007861635220125786 1:0.007861635220125786 5:0.007861635220125786 6:0.007861635220125786 10:0.007861635220125786 12:0.0015723270440251573 13:0.0015723270440251573 14:0.0015723270440251573 15:0.0015723270440251573 17:0.0015723270440251573 19:0.0015723270440251573 0:0.0015723270440251573 2:0.0015723270440251573 4:0.0015723270440251573 7:0.0015723270440251573
