AP890101-0002 2:0.23648648648648649 0:0.15786240786240785 19:0.10872235872235872 7:0.09398034398034398 5:0.08169533169533169 13:0.07678132678132678 11:0.06203931203931204 4:0.05466830466830467 6:0.049754299754299756 10:0.04238329238329238 9:0.017813267813267815 16:0.010442260442260442 1:0.003071253071253071 12:6.142506142506142E-4 14:6.142506142506142E-4 15:6.142506142506142E-4 17:6.142506142506142E-4 18:6.142506142506142E-4 3:6.142506142506142E-4 8:6.142506142506142E-4
AP890530-0058 17:0.28558718861209964 2:0.20729537366548043 1:0.1895017793594306 9:0.13256227758007116 11:0.0898576512455516 14:0.02224199288256228 10:0.02224199288256228 19:0.018683274021352312 13:0.011565836298932384 4:0.011565836298932384 12:8.896797153024911E-4 15:8.896797153024911E-4 16:8.896797153024911E-4 18:8.896797153024911E-4 0:8.896797153024911E-4 3:8.896797153024911E-4 5:8.896797153024911E-4 6:8.896797153024911E-4 7:8.896797153024911E-4 8:8.896797153024911E-4
AP890530-0100 3:0.2993827160493827 1:0.1882716049382716 4:0.17592592592592593 2:0.08950617283950617 15:0.07716049382716049 8:0.05246913580246913 16:0.027777777777777776 12:0.015432098765432098 6:0.015432098765432098 7:0.015432098765432098 10:0.015432098765432098 11:0.0030864197530864196 13:0.0030864197530864196 14:0.0030864197530864196 17:0.0030864197530864196 18:0.0030864197530864196 19:0.0030864197530864196 0:0.0030864197530864196 5:0.0030864197530864196 9:0.0030864197530864196
AP890530-0284 5:0.5680147058823529 19:0.10477941176470588 18:0.0900735294117647 2:0.05330882352941176 4:0.04595588235294118 13:0.03860294117647059 11:0.03125 9:0.02389705882352941 15:0.009191176470588236 16:0.009191176470588236 8:0.009191176470588236 12:0.001838235294117647 14:0.001838235294117647 17:0.001838235294117647 0:0.001838235294117647 1:0.001838235294117647 3:0.001838235294117647 6:0.001838235294117647 7:0.001838235294117647 10:0.001838235294117647
AP890531-0105 17:0.4334349593495935 2:0.26676829268292684 4:0.051321138211382115 18:0.04725609756097561 1:0.04725609756097561 10:0.03709349593495935 14:0.0350609756097561 9:0.033028455284552845 11:0.024898373983739838 3:0.014735772357723578 19:0.004573170731707317 12:5.081300813008131E-4 13:5.081300813008131E-4 15:5.081300813008131E-4 16:5.081300813008131E-4 0:5.081300813008131E-4 5:5.081300813008131E-4 6:5.081300813008131E-4 7:5.081300813008131E-4 8:5.081300813008131E-4
AP890531-0249 5:0.47794117647058826 2:0.16029411764705884 19:0.11911764705882352 4:0.0661764705882353 3:0.04264705882352941 7:0.030882352941176472 1:0.025 10:0.025 18:0.01911764705882353 11:0.007352941176470588 17:0.007352941176470588 8:0.007352941176470588 12:0.0014705882352941176 13:0.0014705882352941176 14:0.0014705882352941176 15:0.0014705882352941176 16:0.0014705882352941176 0:0.0014705882352941176 6:0.0014705882352941176 9:0.0014705882352941176
AP890531-0256 19:0.426 7:0.25 5:0.13 2:0.074 1:0.058 11:0.026 0:0.01 12:0.002 13:0.002 14:0.002 15:0.002 16:0.002 17:0.002 18:0.002 3:0.002 4:0.002 6:0.002 8:0.002 9:0.002 10:0.002
AP890601-0061 16:0.25952380952380955 3:0.25 2:0.18333333333333332 12:0.07857142857142857 18:0.06904761904761905 8:0.05 9:0.05 15:0.011904761904761904 1:0.011904761904761904 6:0.011904761904761904 11:0.002380952380952381 13:0.002380952380952381 14:0.002380952380952381 17:0.002380952380952381 19:0.002380952380952381 0:0.002380952380952381 4:0.002380952380952381 5:0.002380952380952381 7:0.002380952380952381 10:0.002380952380952381
AP890601-0228 8:0.5176056338028169 2:0.13262910798122066 3:0.0903755868544601 19:0.062206572769953054 5:0.057511737089201875 15:0.04342723004694836 1:0.04342723004694836 0:0.015258215962441314 4:0.015258215962441314 12:0.005868544600938967 13:0.005868544600938967 11:0.0011737089201877935 14:0.0011737089201877935 16:0.0011737089201877935 17:0.0011737089201877935 18:0.0011737089201877935 6:0.0011737089201877935 7:0.0011737089201877935 9:0.0011737089201877935 10:0.0011737089201877935
AP890601-0310 2:0.22814685314685315 19:0.16171328671328672 15:0.09877622377622378 16:0.09877622377622378 1:0.09178321678321678 17:0.0673076923076923 13:0.06031468531468531 3:0.049825174825174824 8:0.049825174825174824 9:0.04632867132867133 0:0.03583916083916084 5:0.004370629370629371 11:8.741258741258741E-4 12:8.741258741258741E-4 14:8.741258741258741E-4 18:8.741258741258741E-4 4:8.741258741258741E-4 6:8.741258741258741E-4 7:8.741258741258741E-4 10:8.741258741258741E-4
AP890601-0332 10:0.45583832335329344 2:0.27020958083832336 5:0.09056886227544911 9:0.06961077844311377 13:0.048652694610778445 8:0.0187125748502994 3:0.012724550898203593 11:0.006736526946107785 14:0.0037425149700598802 16:0.0037425149700598802 17:0.0037425149700598802 0:0.0037425149700598802 6:0.0037425149700598802 7:0.0037425149700598802 12:7.485029940119761E-4 15:7.485029940119761E-4 18:7.485029940119761E-4 19:7.485029940119761E-4 1:7.485029940119761E-4 4:7.485029940119761E-4
AP890602-0071 18:0.3588362068965517 13:0.2165948275862069 17:0.11314655172413793 15:0.06573275862068965 2:0.061422413793103446 0:0.057112068965517244 8:0.057112068965517244 5:0.022629310344827586 3:0.014008620689655173 11:0.009698275862068966 6:0.009698275862068966 7:0.005387931034482759 12:0.0010775862068965517 14:0.0010775862068965517 16:0.0010775862068965517 19:0.0010775862068965517 1:0.0010775862068965517 4:0.0010775862068965517 9:0.0010775862068965517 10:0.0010775862068965517
AP890603-0075 17:0.2977941176470588 2:0.23308823529411765 11:0.13602941176470587 3:0.10661764705882353 4:0.0713235294117647 1:0.05661764705882353 0:0.03602941176470588 18:0.01838235294117647 10:0.0125 15:0.009558823529411765 19:0.009558823529411765 5:0.003676470588235294 9:0.003676470588235294 12:7.352941176470588E-4 13:7.352941176470588E-4 14:7.352941176470588E-4 16:7.352941176470588E-4 6:7.352941176470588E-4 7:7.352941176470588E-4 8:7.352941176470588E-4
AP890603-0119 10:0.31056701030927836 2:0.19201030927835053 1:0.14561855670103094 17:0.08891752577319588 5:0.07860824742268041 13:0.05283505154639175 9:0.037371134020618556 3:0.03221649484536082 4:0.01675257731958763 0:0.011597938144329897 7:0.011597938144329897 11:0.006443298969072165 8:0.006443298969072165 12:0.001288659793814433 14:0.001288659793814433 15:0.001288659793814433 16:0.001288659793814433 18:0.001288659793814433 19:0.001288659793814433 6:0.001288659793814433
AP890603-0131 14:0.22954545454545455 15:0.13863636363636364 2:0.12954545454545455 9:0.12045454545454545 17:0.10227272727272728 0:0.09318181818181819 11:0.075 3:0.04772727272727273 12:0.020454545454545454 5:0.011363636363636364 6:0.011363636363636364 13:0.0022727272727272726 16:0.0022727272727272726 18:0.0022727272727272726 19:0.0022727272727272726 1:0.0022727272727272726 4:0.0022727272727272726 7:0.0022727272727272726 8:0.0022727272727272726 10:0.0022727272727272726
AP890605-0011 6:0.375 8:0.14950980392156862 10:0.10049019607843138 2:0.09068627450980392 3:0.07107843137254902 11:0.061274509803921566 4:0.031862745098039214 14:0.022058823529411766 12:0.012254901960784314 16:0.012254901960784314 17:0.012254901960784314 18:0.012254901960784314 1:0.012254901960784314 5:0.012254901960784314 9:0.012254901960784314 13:0.0024509803921568627 15:0.0024509803921568627 19:0.0024509803921568627 0:0.0024509803921568627 7:0.0024509803921568627
AP890606-0145 14:0.2828525641025641 15:0.18669871794871795 2:0.1482371794871795 9:0.08092948717948718 0:0.06169871794871795 3:0.052083333333333336 17:0.04567307692307692 8:0.04567307692307692 13:0.029647435897435896 4:0.026442307692307692 12:0.023237179487179488 1:0.010416666666666666 11:8.012820512820513E-4 16:8.012820512820513E-4 18:8.012820512820513E-4 19:8.012820512820513E-4 5:8.012820512820513E-4 6:8.012820512820513E-4 7:8.012820512820513E-4 10:8.012820512820513E-4
AP890606-0206 5:0.37219101123595505 16:0.2148876404494382 2:0.15870786516853932 15:0.13623595505617977 7:0.0351123595505618 19:0.02949438202247191 13:0.018258426966292134 1:0.012640449438202247 8:0.007022471910112359 11:0.0014044943820224719 12:0.0014044943820224719 14:0.0014044943820224719 17:0.0014044943820224719 18:0.0014044943820224719 0:0.0014044943820224719 3:0.0014044943820224719 4:0.0014044943820224719 6:0.0014044943820224719 9:0.0014044943820224719 10:0.0014044943820224719
AP890607-0026 9:0.5701581027667985 7:0.11956521739130435 2:0.06027667984189723 5:0.06027667984189723 19:0.02865612648221344 14:0.024703557312252964 15:0.024703557312252964 0:0.024703557312252964 1:0.024703557312252964 4:0.016798418972332016 6:0.016798418972332016 17:0.012845849802371542 13:0.004940711462450593 8:0.004940711462450593 11:9.881422924901185E-4 12:9.881422924901185E-4 16:9.881422924901185E-4 18:9.881422924901185E-4 3:9.881422924901185E-4 10:9.881422924901185E-4
AP890607-0247 6:0.2188715953307393 0:0.16439688715953307 3:0.11381322957198443 17:0.10214007782101167 7:0.07879377431906615 14:0.0632295719844358 2:0.0632295719844358 9:0.05544747081712062 5:0.05155642023346303 19:0.032101167315175094 13:0.020428015564202335 16:0.020428015564202335 15:0.0048638132295719845 18:0.0048638132295719845 11:9.727626459143969E-4 12:9.727626459143969E-4 1:9.727626459143969E-4 4:9.727626459143969E-4 8:9.727626459143969E-4 10:9.727626459143969E-4
AP890608-0137 4:0.4618155619596542 18:0.20244956772334294 2:0.18227665706051874 1:0.07276657060518732 11:0.04106628242074928 17:0.018011527377521614 12:0.0036023054755043226 14:0.0036023054755043226 16:0.0036023054755043226 6:0.0036023054755043226 13:7.204610951008645E-4 15:7.204610951008645E-4 19:7.204610951008645E-4 0:7.204610951008645E-4 3:7.204610951008645E-4 5:7.204610951008645E-4 7:7.204610951008645E-4 8:7.204610951008645E-4 9:7.204610951008645E-4 10:7.204610951008645E-4
AP890608-0203 9:0.3797640653357532 0:0.22549909255898368 2:0.13475499092558985 6:0.08938294010889292 19:0.04945553539019964 8:0.029491833030852996 17:0.024047186932849365 3:0.013157894736842105 12:0.011343012704174229 15:0.011343012704174229 7:0.011343012704174229 10:0.011343012704174229 13:0.004083484573502722 5:0.002268602540834846 11:4.5372050816696913E-4 14:4.5372050816696913E-4 16:4.5372050816696913E-4 18:4.5372050816696913E-4 1:4.5372050816696913E-4 4:4.5372050816696913E-4
AP890608-0278 10:0.5234138972809668 5:0.2212990936555891 9:0.1095166163141994 1:0.04909365558912387 2:0.024924471299093656 13:0.0188821752265861 18:0.01283987915407855 3:0.009818731117824773 15:0.006797583081570997 16:0.006797583081570997 19:0.0037764350453172208 6:0.0037764350453172208 8:0.0037764350453172208 11:7.552870090634441E-4 12:7.552870090634441E-4 14:7.552870090634441E-4 17:7.552870090634441E-4 0:7.552870090634441E-4 4:7.552870090634441E-4 7:7.552870090634441E-4
AP890609-0040 14:0.3025114155251142 2:0.24771689497716895 8:0.13812785388127855 7:0.09246575342465753 19:0.05136986301369863 17:0.04680365296803653 6:0.023972602739726026 15:0.019406392694063926 3:0.019406392694063926 5:0.019406392694063926 16:0.010273972602739725 10:0.010273972602739725 12:0.005707762557077625 13:0.005707762557077625 11:0.001141552511415525 18:0.001141552511415525 0:0.001141552511415525 1:0.001141552511415525 4:0.001141552511415525 9:0.001141552511415525
AP890609-0061 0:0.4466824644549763 11:0.14336492890995262 2:0.10545023696682465 6:0.07227488151658767 7:0.058056872037914695 16:0.0485781990521327 9:0.04383886255924171 8:0.02962085308056872 3:0.015402843601895734 17:0.01066350710900474 13:0.005924170616113744 15:0.005924170616113744 4:0.005924170616113744 12:0.001184834123222749 14:0.001184834123222749 18:0.001184834123222749 19:0.001184834123222749 1:0.001184834123222749 5:0.001184834123222749 10:0.001184834123222749
AP890609-0162 6:0.2091549295774648 17:0.13028169014084506 2:0.11338028169014085 9:0.10774647887323943 8:0.10492957746478873 4:0.07394366197183098 5:0.06267605633802817 0:0.05704225352112676 11:0.04295774647887324 7:0.04014084507042254 18:0.03732394366197183 19:0.011971830985915493 1:0.0035211267605633804 12:7.042253521126761E-4 13:7.042253521126761E-4 14:7.042253521126761E-4 15:7.042253521126761E-4 16:7.042253521126761E-4 3:7.042253521126761E-4 10:7.042253521126761E-4
AP890609-0185 18:0.5130662020905923 15:0.1367595818815331 9:0.11236933797909408 13:0.06358885017421603 6:0.05313588850174216 2:0.042682926829268296 1:0.028745644599303136 8:0.018292682926829267 3:0.01132404181184669 16:0.0078397212543554 12:0.004355400696864111 11:8.710801393728223E-4 14:8.710801393728223E-4 17:8.710801393728223E-4 19:8.710801393728223E-4 0:8.710801393728223E-4 4:8.710801393728223E-4 5:8.710801393728223E-4 7:8.710801393728223E-4 10:8.710801393728223E-4
AP890609-0210 17:0.36736641221374045 14:0.23377862595419846 2:0.09637404580152671 3:0.07729007633587787 15:0.05820610687022901 10:0.03148854961832061 18:0.02767175572519084 16:0.02385496183206107 5:0.02385496183206107 1:0.016221374045801526 19:0.012404580152671756 12:0.008587786259541985 0:0.008587786259541985 7:0.008587786259541985 11:9.541984732824427E-4 13:9.541984732824427E-4 4:9.541984732824427E-4 6:9.541984732824427E-4 8:9.541984732824427E-4 9:9.541984732824427E-4
AP890609-0212 17:0.44291338582677164 2:0.25393700787401574 14:0.10433070866141732 15:0.07283464566929133 10:0.04133858267716536 7:0.03346456692913386 6:0.017716535433070866 5:0.00984251968503937 11:0.001968503937007874 12:0.001968503937007874 13:0.001968503937007874 16:0.001968503937007874 18:0.001968503937007874 19:0.001968503937007874 0:0.001968503937007874 1:0.001968503937007874 3:0.001968503937007874 4:0.001968503937007874 8:0.001968503937007874 9:0.001968503937007874
AP890610-0052 7:0.2506868131868132 0:0.1929945054945055 2:0.1929945054945055 6:0.10508241758241758 3:0.08585164835164835 4:0.04739010989010989 9:0.03365384615384615 11:0.02815934065934066 13:0.019917582417582416 5:0.014423076923076924 17:0.008928571428571428 14:0.006181318681318681 12:0.003434065934065934 8:0.003434065934065934 10:0.003434065934065934 15:6.868131868131869E-4 16:6.868131868131869E-4 18:6.868131868131869E-4 19:6.868131868131869E-4 1:6.868131868131869E-4
AP890610-0100 14:0.360054347826087 3:0.21331521739130435 2:0.12635869565217392 15:0.050271739130434784 16:0.050271739130434784 4:0.050271739130434784 12:0.03940217391304348 11:0.02309782608695652 8:0.02309782608695652 17:0.017663043478260868 18:0.017663043478260868 1:0.006793478260869565 5:0.006793478260869565 6:0.006793478260869565 13:0.001358695652173913 19:0.001358695652173913 0:0.001358695652173913 7:0.001358695652173913 9:0.001358695652173913 10:0.001358695652173913
AP890611-0002 6:0.666256157635468 1:0.06527093596059114 11:0.05541871921182266 3:0.05541871921182266 2:0.04064039408866995 18:0.03078817733990148 0:0.02586206896551724 4:0.01600985221674877 16:0.011083743842364532 7:0.011083743842364532 13:0.006157635467980296 8:0.006157635467980296 12:0.0012315270935960591 14:0.0012315270935960591 15:0.0012315270935960591 17:0.0012315270935960591 19:0.0012315270935960591 5:0.0012315270935960591 9:0.0012315270935960591 10:0.0012315270935960591
AP890611-0034 5:0.3392857142857143 19:0.19642857142857142 9:0.1556122448979592 1:0.10459183673469388 10:0.10459183673469388 8:0.03316326530612245 12:0.012755102040816327 2:0.012755102040816327 6:0.012755102040816327 11:0.002551020408163265 13:0.002551020408163265 14:0.002551020408163265 15:0.002551020408163265 16:0.002551020408163265 17:0.002551020408163265 18:0.002551020408163265 0:0.002551020408163265 3:0.002551020408163265 4:0.002551020408163265 7:0.002551020408163265
AP890611-0040 9:0.381 6:0.281 13:0.157 2:0.057 14:0.041 0:0.029 17:0.017 7:0.017 3:0.009 11:0.001 12:0.001 15:0.001 16:0.001 18:0.001 19:0.001 1:0.001 4:0.001 5:0.001 8:0.001 10:0.001
AP890612-0037 9:0.42980295566502463 6:0.2672413793103448 13:0.14901477832512317 2:0.04556650246305419 0:0.03571428571428571 19:0.02586206896551724 7:0.01600985221674877 12:0.011083743842364532 16:0.006157635467980296 11:0.0012315270935960591 14:0.0012315270935960591 15:0.0012315270935960591 17:0.0012315270935960591 18:0.0012315270935960591 1:0.0012315270935960591 3:0.0012315270935960591 4:0.0012315270935960591 5:0.0012315270935960591 8:0.0012315270935960591 10:0.0012315270935960591
AP890612-0103 18:0.5150602409638554 2:0.16164658634538154 4:0.0853413654618474 3:0.045180722891566265 5:0.045180722891566265 6:0.045180722891566265 16:0.03313253012048193 10:0.02108433734939759 14:0.01706827309236948 9:0.009036144578313253 11:0.0050200803212851405 12:0.0050200803212851405 19:0.0050200803212851405 13:0.001004016064257028 15:0.001004016064257028 17:0.001004016064257028 0:0.001004016064257028 1:0.001004016064257028 7:0.001004016064257028 8:0.001004016064257028
AP890612-0233 4:0.2474293059125964 2:0.198586118251928 16:0.19087403598971722 19:0.08547557840616966 7:0.07519280205655526 10:0.06491002570694088 3:0.04434447300771208 1:0.02634961439588689 9:0.018637532133676093 0:0.016066838046272493 17:0.010925449871465296 13:0.008354755784061696 15:0.005784061696658098 8:0.003213367609254499 11:6.426735218508997E-4 12:6.426735218508997E-4 14:6.426735218508997E-4 18:6.426735218508997E-4 5:6.426735218508997E-4 6:6.426735218508997E-4
AP890612-0273 19:0.56125 2:0.18125 5:0.09625 3:0.04625 10:0.03625 11:0.02625 12:0.01625 8:0.01625 9:0.00625 13:0.00125 14:0.00125 15:0.00125 16:0.00125 17:0.00125 18:0.00125 0:0.00125 1:0.00125 4:0.00125 6:0.00125 7:0.00125
AP890612-0292 9:0.26910828025477707 18:0.23089171974522293 5:0.1035031847133758 1:0.07165605095541401 2:0.06528662420382166 0:0.04617834394904458 13:0.03980891719745223 14:0.03980891719745223 17:0.027070063694267517 3:0.027070063694267517 8:0.027070063694267517 12:0.014331210191082803 4:0.014331210191082803 16:0.007961783439490446 6:0.007961783439490446 11:0.0015923566878980893 15:0.0015923566878980893 19:0.0015923566878980893 7:0.0015923566878980893 10:0.0015923566878980893
AP890613-0220 5:0.3194444444444444 19:0.23214285714285715 2:0.12103174603174603 1:0.08928571428571429 7:0.07341269841269842 13:0.057539682539682536 16:0.041666666666666664 18:0.025793650793650792 6:0.017857142857142856 11:0.001984126984126984 12:0.001984126984126984 14:0.001984126984126984 15:0.001984126984126984 17:0.001984126984126984 0:0.001984126984126984 3:0.001984126984126984 4:0.001984126984126984 8:0.001984126984126984 9:0.001984126984126984 10:0.001984126984126984
AP890614-0100 2:0.21285714285714286 15:0.1442857142857143 4:0.13285714285714287 9:0.10428571428571429 18:0.08142857142857143 0:0.07571428571428572 3:0.07571428571428572 11:0.05285714285714286 10:0.03571428571428571 1:0.03 8:0.03 13:0.007142857142857143 5:0.007142857142857143 12:0.0014285714285714286 14:0.0014285714285714286 16:0.0014285714285714286 17:0.0014285714285714286 19:0.0014285714285714286 6:0.0014285714285714286 7:0.0014285714285714286
AP890614-0130 6:0.48284313725490197 2:0.13970588235294118 11:0.11029411764705882 0:0.09068627450980392 13:0.031862745098039214 15:0.031862745098039214 18:0.031862745098039214 8:0.031862745098039214 19:0.022058823529411766 12:0.0024509803921568627 14:0.0024509803921568627 16:0.0024509803921568627 17:0.0024509803921568627 1:0.0024509803921568627 3:0.0024509803921568627 4:0.0024509803921568627 5:0.0024509803921568627 7:0.0024509803921568627 9:0.0024509803921568627 10:0.0024509803921568627
AP890614-0220 5:0.4410112359550562 13:0.351123595505618 8:0.047752808988764044 11:0.025280898876404494 16:0.025280898876404494 14:0.014044943820224719 17:0.014044943820224719 1:0.014044943820224719 2:0.014044943820224719 4:0.014044943820224719 6:0.014044943820224719 12:0.0028089887640449437 15:0.0028089887640449437 18:0.0028089887640449437 19:0.0028089887640449437 0:0.0028089887640449437 3:0.0028089887640449437 7:0.0028089887640449437 9:0.0028089887640449437 10:0.0028089887640449437
AP890614-0248 5:0.484375 2:0.22078804347826086 3:0.21535326086956522 19:0.06046195652173913 6:0.0033967391304347825 8:0.0033967391304347825 9:0.0033967391304347825 11:6.793478260869565E-4 12:6.793478260869565E-4 13:6.793478260869565E-4 14:6.793478260869565E-4 15:6.793478260869565E-4 16:6.793478260869565E-4 17:6.793478260869565E-4 18:6.793478260869565E-4 0:6.793478260869565E-4 1:6.793478260869565E-4 4:6.793478260869565E-4 7:6.793478260869565E-4 10:6.793478260869565E-4
AP890614-0255 19:0.4673913043478261 2:0.3598398169336384 16:0.06464530892448513 3:0.057780320366132724 8:0.02574370709382151 5:0.009725400457665904 7:0.005148741418764302 14:0.002860411899313501 11:5.720823798627002E-4 12:5.720823798627002E-4 13:5.720823798627002E-4 15:5.720823798627002E-4 17:5.720823798627002E-4 18:5.720823798627002E-4 0:5.720823798627002E-4 1:5.720823798627002E-4 4:5.720823798627002E-4 6:5.720823798627002E-4 9:5.720823798627002E-4 10:5.720823798627002E-4
AP890614-0280 5:0.32172131147540983 19:0.25614754098360654 1:0.18237704918032788 4:0.10040983606557377 11:0.02663934426229508 14:0.02663934426229508 6:0.018442622950819672 12:0.010245901639344262 13:0.010245901639344262 16:0.010245901639344262 2:0.010245901639344262 7:0.010245901639344262 15:0.0020491803278688526 17:0.0020491803278688526 18:0.0020491803278688526 0:0.0020491803278688526 3:0.0020491803278688526 8:0.0020491803278688526 9:0.0020491803278688526 10:0.0020491803278688526
AP890616-0157 17:0.6267006802721088 2:0.08928571428571429 4:0.07908163265306123 15:0.03826530612244898 18:0.03826530612244898 1:0.03826530612244898 3:0.02806122448979592 6:0.021258503401360544 7:0.01445578231292517 10:0.011054421768707483 19:0.004251700680272109 8:0.004251700680272109 11:8.503401360544217E-4 12:8.503401360544217E-4 13:8.503401360544217E-4 14:8.503401360544217E-4 16:8.503401360544217E-4 0:8.503401360544217E-4 5:8.503401360544217E-4 9:8.503401360544217E-4
AP890617-0015 2:0.41216216216216217 11:0.16891891891891891 5:0.11486486486486487 3:0.09324324324324325 9:0.06621621621621622 8:0.05 16:0.022972972972972974 17:0.01756756756756757 7:0.01756756756756757 6:0.012162162162162163 12:0.006756756756756757 10:0.006756756756756757 13:0.0013513513513513514 14:0.0013513513513513514 15:0.0013513513513513514 18:0.0013513513513513514 19:0.0013513513513513514 0:0.0013513513513513514 1:0.0013513513513513514 4:0.0013513513513513514
AP890617-0021 13:0.4946351931330472 1:0.16416309012875535 5:0.1555793991416309 2:0.10407725321888411 7:0.03111587982832618 14:0.013948497854077254 12:0.009656652360515022 11:0.00536480686695279 19:0.00536480686695279 0:0.00536480686695279 15:0.001072961373390558 16:0.001072961373390558 17:0.001072961373390558 18:0.001072961373390558 3:0.001072961373390558 4:0.001072961373390558 6:0.001072961373390558 8:0.001072961373390558 9:0.001072961373390558 10:0.001072961373390558
AP890617-0025 13:0.4688841201716738 1:0.15128755364806867 5:0.14699570815450644 2:0.09978540772532189 12:0.03540772532188841 7:0.022532188841201718 9:0.022532188841201718 14:0.018240343347639486 0:0.013948497854077254 11:0.00536480686695279 19:0.00536480686695279 15:0.001072961373390558 16:0.001072961373390558 17:0.001072961373390558 18:0.001072961373390558 3:0.001072961373390558 4:0.001072961373390558 6:0.001072961373390558 8:0.001072961373390558 10:0.001072961373390558
AP890617-0075 17:0.39457831325301207 15:0.1897590361445783 2:0.1536144578313253 8:0.10140562248995984 14:0.09738955823293173 5:0.02108433734939759 16:0.01706827309236948 19:0.0050200803212851405 3:0.0050200803212851405 4:0.0050200803212851405 11:0.001004016064257028 12:0.001004016064257028 13:0.001004016064257028 18:0.001004016064257028 0:0.001004016064257028 1:0.001004016064257028 6:0.001004016064257028 7:0.001004016064257028 9:0.001004016064257028 10:0.001004016064257028
AP890617-0143 17:0.3229166666666667 12:0.2673611111111111 1:0.1423611111111111 13:0.10069444444444445 8:0.04513888888888889 9:0.04513888888888889 2:0.017361111111111112 6:0.017361111111111112 11:0.003472222222222222 14:0.003472222222222222 15:0.003472222222222222 16:0.003472222222222222 18:0.003472222222222222 19:0.003472222222222222 0:0.003472222222222222 3:0.003472222222222222 4:0.003472222222222222 5:0.003472222222222222 7:0.003472222222222222 10:0.003472222222222222
AP890619-0010 13:0.27191235059760954 2:0.1802788844621514 8:0.15239043824701196 12:0.10856573705179283 1:0.10059760956175298 3:0.060756972111553786 0:0.04083665338645418 4:0.03286852589641434 10:0.01693227091633466 6:0.012948207171314742 18:0.0049800796812749 19:0.0049800796812749 9:0.0049800796812749 11:9.9601593625498E-4 14:9.9601593625498E-4 15:9.9601593625498E-4 16:9.9601593625498E-4 17:9.9601593625498E-4 5:9.9601593625498E-4 7:9.9601593625498E-4
AP890619-0182 9:0.6628113879003559 2:0.13612099644128114 5:0.07206405693950178 6:0.036476868327402136 1:0.029359430604982206 14:0.018683274021352312 0:0.018683274021352312 4:0.00800711743772242 15:0.004448398576512456 10:0.004448398576512456 11:8.896797153024911E-4 12:8.896797153024911E-4 13:8.896797153024911E-4 16:8.896797153024911E-4 17:8.896797153024911E-4 18:8.896797153024911E-4 19:8.896797153024911E-4 3:8.896797153024911E-4 7:8.896797153024911E-4 8:8.896797153024911E-4
AP890619-0258 5:0.5033967391304348 2:0.21807065217391305 3:0.20720108695652173 19:0.05502717391304348 14:0.0033967391304347825 6:0.0033967391304347825 11:6.793478260869565E-4 12:6.793478260869565E-4 13:6.793478260869565E-4 15:6.793478260869565E-4 16:6.793478260869565E-4 17:6.793478260869565E-4 18:6.793478260869565E-4 0:6.793478260869565E-4 1:6.793478260869565E-4 4:6.793478260869565E-4 7:6.793478260869565E-4 8:6.793478260869565E-4 9:6.793478260869565E-4 10:6.793478260869565E-4
AP890619-0266 19:0.46510297482837526 2:0.35068649885583525 3:0.06922196796338673 16:0.06693363844393593 8:0.01887871853546911 12:0.007437070938215103 5:0.005148741418764302 14:0.002860411899313501 0:0.002860411899313501 1:0.002860411899313501 9:0.002860411899313501 11:5.720823798627002E-4 13:5.720823798627002E-4 15:5.720823798627002E-4 17:5.720823798627002E-4 18:5.720823798627002E-4 4:5.720823798627002E-4 6:5.720823798627002E-4 7:5.720823798627002E-4 10:5.720823798627002E-4
AP890619-0302 5:0.486328125 19:0.306640625 9:0.064453125 8:0.041015625 3:0.025390625 16:0.017578125 15:0.009765625 18:0.009765625 0:0.009765625 6:0.009765625 11:0.001953125 12:0.001953125 13:0.001953125 14:0.001953125 17:0.001953125 1:0.001953125 2:0.001953125 4:0.001953125 7:0.001953125 10:0.001953125
AP890620-0111 19:0.19146825396825398 10:0.1875 2:0.18353174603174602 3:0.14781746031746032 8:0.14781746031746032 16:0.028769841269841268 1:0.028769841269841268 7:0.028769841269841268 18:0.016865079365079364 11:0.012896825396825396 13:0.008928571428571428 0:0.00496031746031746 6:0.00496031746031746 12:9.92063492063492E-4 14:9.92063492063492E-4 15:9.92063492063492E-4 17:9.92063492063492E-4 4:9.92063492063492E-4 5:9.92063492063492E-4 9:9.92063492063492E-4
AP890620-0215 19:0.41041666666666665 7:0.2604166666666667 2:0.24375 5:0.035416666666666666 6:0.010416666666666666 8:0.010416666666666666 11:0.0020833333333333333 12:0.0020833333333333333 13:0.0020833333333333333 14:0.0020833333333333333 15:0.0020833333333333333 16:0.0020833333333333333 17:0.0020833333333333333 18:0.0020833333333333333 0:0.0020833333333333333 1:0.0020833333333333333 3:0.0020833333333333333 4:0.0020833333333333333 9:0.0020833333333333333 10:0.0020833333333333333
AP890620-0245 5:0.6295454545454545 6:0.14772727272727273 2:0.08409090909090909 10:0.056818181818181816 0:0.020454545454545454 15:0.011363636363636364 1:0.011363636363636364 7:0.011363636363636364 11:0.0022727272727272726 12:0.0022727272727272726 13:0.0022727272727272726 14:0.0022727272727272726 16:0.0022727272727272726 17:0.0022727272727272726 18:0.0022727272727272726 19:0.0022727272727272726 3:0.0022727272727272726 4:0.0022727272727272726 8:0.0022727272727272726 9:0.0022727272727272726
